,title,location,company,salary,city,state,parsed_salary
0,Principal Technology Product Manager,"Detroit, MI",Amazon,NaN,Detroit,MI,NaN
1,Product Development Chemist,"Auburn Hills, MI",Huntsman,NaN,Detroit,MI,NaN
2,Senior NEPA Environmental Scientist (Omaha / Lincoln),"Troy, MI",Altair Engineering,NaN,Detroit,MI,NaN
3,Data Scientist/Analyst,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
4,Radar Exploitation Scientist,"Novi, MI 48375",Antea®Group,NaN,Detroit,MI,NaN
5,Research Scientist [Exp. with Machine Learning & Computer Vi...,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
6,Biomedical Laboratory Officer,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
7,Analytical Scientist (LC-MSMS / NMR Small Molecule),"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
8,Software Development Engineer – New AWS Machine Learning- Re...,United States,"Amazon Web Services, Inc.",NaN,Detroit,MI,NaN
9,"Software Development Engineer, Big Data- Relocation Opportun...",United States,Amazon Corporate LLC,NaN,Detroit,MI,NaN
10,Data Scientist/Analyst,"Dearborn, MI",Millennium Software Incorporated,NaN,Detroit,MI,NaN
11,Research Scientist [Exp. with Machine Learning & Computer Vi...,"Troy, MI",Altair Engineering,NaN,Detroit,MI,NaN
12,Software Development Engineer – Emerging AWS Machine Learnin...,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
13,Research Scientist-Emerging Technology [3 to 5 Yrs of Exp] L...,"Novi, MI 48375",Antea®Group,NaN,Detroit,MI,NaN
14,Software Development Engineer – New AWS Machine Learning- Re...,United States,"Amazon Web Services, Inc.",NaN,Detroit,MI,NaN
15,"Software Development Engineer, Big Data- Relocation Opportun...",United States,Amazon Corporate LLC,NaN,Detroit,MI,NaN
16,Data Scientist/Analyst,"Dearborn, MI",Millennium Software Incorporated,NaN,Detroit,MI,NaN
17,Research Scientist [Exp. with Machine Learning & Computer Vi...,"Troy, MI",Altair Engineering,NaN,Detroit,MI,NaN
18,Software Development Engineer – Emerging AWS Machine Learnin...,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
19,Research Scientist-Emerging Technology [3 to 5 Yrs of Exp] L...,"Novi, MI 48375",Antea®Group,NaN,Detroit,MI,NaN
20,Software Development Engineer – New AWS Machine Learning- Re...,United States,"Amazon Web Services, Inc.",NaN,Detroit,MI,NaN
21,"Software Development Engineer, Big Data- Relocation Opportun...",United States,Amazon Corporate LLC,NaN,Detroit,MI,NaN
22,Data Scientist/Analyst,"Dearborn, MI",Millennium Software Incorporated,NaN,Detroit,MI,NaN
23,Research Scientist [Exp. with Machine Learning & Computer Vi...,"Troy, MI",Altair Engineering,NaN,Detroit,MI,NaN
24,Software Development Engineer – Emerging AWS Machine Learnin...,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
25,Research Scientist-Emerging Technology [3 to 5 Yrs of Exp] L...,"Novi, MI 48375",Antea®Group,NaN,Detroit,MI,NaN
26,Software Development Engineer – New AWS Machine Learning- Re...,United States,"Amazon Web Services, Inc.",NaN,Detroit,MI,NaN
27,"Software Development Engineer, Big Data- Relocation Opportun...",United States,Amazon Corporate LLC,NaN,Detroit,MI,NaN
28,Data Scientist/Analyst,"Dearborn, MI",Millennium Software Incorporated,NaN,Detroit,MI,NaN
29,Research Scientist [Exp. with Machine Learning & Computer Vi...,"Troy, MI",Altair Engineering,NaN,Detroit,MI,NaN
30,Software Development Engineer – Emerging AWS Machine Learnin...,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
31,Research Scientist-Emerging Technology [3 to 5 Yrs of Exp] L...,"Novi, MI 48375",Antea®Group,NaN,Detroit,MI,NaN
32,Software Development Engineer – New AWS Machine Learning- Re...,United States,"Amazon Web Services, Inc.",NaN,Detroit,MI,NaN
33,"Software Development Engineer, Big Data- Relocation Opportun...",United States,Amazon Corporate LLC,NaN,Detroit,MI,NaN
34,Data Scientist/Analyst,"Dearborn, MI",Millennium Software Incorporated,NaN,Detroit,MI,NaN
35,Research Scientist [Exp. with Machine Learning & Computer Vi...,"Troy, MI",Altair Engineering,NaN,Detroit,MI,NaN
36,Software Development Engineer – Emerging AWS Machine Learnin...,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
