budget,studio,sound,aspect,color,aspect_ratio
"[u'\nBudget:        $250,000        \n\n      (estimated)\n']",[u'Charles Chaplin Productions'],"[u'Mono', u'Silent']",,[u' Black and White'],[u'\nAspect Ratio: 1.33 : 1\n    ']
"[u'\nBudget:        $923,000        \n\n      (estimated)\n']",[u'Charles Chaplin Productions'],"[u'Mono', u'Silent']",,[u' Black and White'],[u'\nAspect Ratio: 1.33 : 1\n    ']
"[u'\nBudget:        DEM\xa06,000,000        \n\n      (estimated)\n']",[u'Universum Film (UFA)'],"[u'Dolby Digital', u'Silent']",,[u' Black and White'],[u'\nAspect Ratio: 1.33 : 1\n    ']
"[u'\nBudget:        $750,000        \n\n      (estimated)\n']","[u'Buster Keaton Productions', u'Joseph M. Schenck Productions']",[u'Silent'],,[u' Black and White'],[u'\nAspect Ratio: 1.33 : 1\n    ']
[],[u'Fox Film Corporation'],"[u'Mono', u'Silent']",,[u' Black and White'],[u'\nAspect Ratio: 1.33 : 1\n    ']
[],[u'Soci\xe9t\xe9 g\xe9n\xe9rale des films'],[u'Silent'],,[u' Black and White'],[u'\nAspect Ratio: 1.33 : 1\n    ']
"[u'\nBudget:        $1,500,000        \n\n      (estimated)\n']",[u'Charles Chaplin Productions'],"[u'Silent', u'Mono']",,[u' Black and White'],[u'\nAspect Ratio: 1.20 : 1\n    ']
[],[u'Nero-Film AG'],[u'Mono'],,[u' Black and White'],[u'\nAspect Ratio: 1.19 : 1\n    ']
"[u'\nBudget:        $325,000        \n\n      (estimated)\n']",[u'Columbia Pictures Corporation'],[u'Mono'],,[u' Black and White'],[u'\nAspect Ratio: 1.37 : 1\n    ']
"[u'\nBudget:        $1,500,000        \n\n      (estimated)\n']",[u'Charles Chaplin Productions'],[u'Mono'],,[u' Black and White'],[u'\nAspect Ratio: 1.37 : 1\n    ']
"[u'\nBudget:        $3,977,000        \n\n      (estimated)\n']","[u'Selznick International Pictures', u'Metro-Goldwyn-Mayer (MGM)']",[u'Mono'],,[u'Color'],[u'\nAspect Ratio: 1.37 : 1\n    ']
"[u'\nBudget:        $1,500,000        \n\n      (estimated)\n']",[u'Columbia Pictures Corporation'],[u'Mono'],,[u' Black and White'],[u'\nAspect Ratio: 1.37 : 1\n    ']
"[u'\nBudget:        $2,800,000        \n\n      (estimated)\n']",[u'Metro-Goldwyn-Mayer (MGM)'],"[u'Mono', u'Dolby Digital']",,"[u' Black and White', u' Black and White', u' Black and White', u'Color']",[u'\nAspect Ratio: 1.37 : 1\n    ']
"[u'\nBudget:        $800,000        \n\n      (estimated)\n']",[u'Twentieth Century Fox Film Corporation'],[u'Mono'],,[u' Black and White'],[u'\nAspect Ratio: 1.37 : 1\n    ']
