can_rate,image,num_votes,rating,tconst,title,type,year
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BODU4MjU4NjIwNl5BMl5BanBnXkFtZTgwMDU2MjEyMDE@._V1_.jpg', u'width': 933, u'height': 1388}",1789788,9.3,tt0111161,The Shawshank Redemption,feature,1994
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BZTRmNjQ1ZDYtNDgzMy00OGE0LWE4N2YtNTkzNWQ5ZDhlNGJmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg', u'width': 2228, u'height': 3161}",1221863,9.2,tt0068646,The Godfather,feature,1972
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjZiNzIxNTQtNDc5Zi00YWY1LThkMTctMDgzYjY4YjI1YmQyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg', u'width': 2106, u'height': 2999}",840277,9.0,tt0071562,The Godfather: Part II,feature,1974
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_.jpg', u'width': 1383, u'height': 2048}",1770742,9.0,tt0468569,The Dark Knight,feature,2008
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BODQwOTc5MDM2N15BMl5BanBnXkFtZTcwODQxNTEzNA@@._V1_.jpg', u'width': 682, u'height': 1023}",482875,8.9,tt0050083,12 Angry Men,feature,1957
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg', u'width': 1600, u'height': 2400}",917815,8.9,tt0108052,Schindler's List,feature,1993
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxMTA5OTAzMl5BMl5BanBnXkFtZTgwNjA5MDc3NjE@._V1_.jpg', u'width': 1010, u'height': 1500}",1401007,8.9,tt0110912,Pulp Fiction,feature,1994
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BYWY1ZWQ5YjMtMDE0MS00NWIzLWE1M2YtODYzYTk2OTNlYWZmXkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_.jpg', u'width': 1002, u'height': 1500}",1284262,8.9,tt0167260,The Lord of the Rings: The Return of the King,feature,2003
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BOTQ5NDI3MTI4MF5BMl5BanBnXkFtZTgwNDQ4ODE5MDE@._V1_.jpg', u'width': 1344, u'height': 2048}",531421,8.9,tt0060196,"The Good, the Bad and the Ugly",feature,1966
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BZGY5Y2RjMmItNDg5Yy00NjUwLThjMTEtNDc2OGUzNTBiYmM1XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg', u'width': 580, u'height': 859}",1431969,8.8,tt0137523,Fight Club,feature,1999
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNmFmZDdkODMtNzUyMy00NzhhLWFjZmEtMGMzYjNhMDA1NTBkXkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_.jpg', u'width': 1026, u'height': 1500}",1305868,8.8,tt0120737,The Lord of the Rings: The Fellowship of the Ring,feature,2001
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BYmViY2M2MTYtY2MzOS00YjQ1LWIzYmEtOTBiNjhlMGM0NjZjXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_.jpg', u'width': 1369, u'height': 2125}",893429,8.8,tt0080684,Star Wars: Episode V - The Empire Strikes Back,feature,1980
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BYThjM2MwZGMtMzg3Ny00NGRkLWE4M2EtYTBiNWMzOTY0YTI4XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_.jpg', u'width': 1136, u'height': 1500}",1339455,8.8,tt0109830,Forrest Gump,feature,1994
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_.jpg', u'width': 700, u'height': 1037}",1562446,8.8,tt1375666,Inception,feature,2010
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTAyNDU0NjY4NTheQTJeQWpwZ15BbWU2MDk4MTY2Nw@@._V1_.jpg', u'width': 350, u'height': 512}",1163717,8.7,tt0167261,The Lord of the Rings: The Two Towers,feature,2002
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg', u'width': 1009, u'height': 1500}",717183,8.7,tt0073486,One Flew Over the Cuckoo's Nest,feature,1975
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNThjMzczMjctZmIwOC00NTQ4LWJhZWItZDdhNTk5ZTdiMWFlXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_.jpg', u'width': 1004, u'height': 1500}",771679,8.7,tt0099685,Goodfellas,feature,1990
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg', u'width': 2100, u'height': 3156}",1288594,8.7,tt0133093,The Matrix,feature,1999
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5MDY1MjU5MF5BMl5BanBnXkFtZTgwNDM2OTE4MzE@._V1_.jpg', u'width': 1354, u'height': 1900}",241668,8.7,tt0047478,Seven Samurai,feature,1954
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BYzQ2OTk4N2QtOGQwNy00MmI3LWEwNmEtOTk0OTY3NDk2MGJkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg', u'width': 997, u'height': 1500}",966784,8.7,tt0076759,Star Wars: Episode IV - A New Hope,feature,1977
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4ODQ3ODkzNV5BMl5BanBnXkFtZTYwOTc4NDI3._V1_.jpg', u'width': 400, u'height': 593}",561239,8.7,tt0317248,City of God,feature,2002
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg', u'width': 1801, u'height': 2815}",1088518,8.6,tt0114369,Se7en,feature,1995
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2NzkzMDI4OF5BMl5BanBnXkFtZTcwMDA0NzE1NA@@._V1_.jpg', u'width': 682, u'height': 1023}",947437,8.6,tt0102926,The Silence of the Lambs,feature,1991
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTMzMzY5NDc4M15BMl5BanBnXkFtZTcwMzc4NjIxNw@@._V1_.jpg', u'width': 1372, u'height': 2048}",295425,8.6,tt0038650,It's a Wonderful Life,feature,1946
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BYmJmM2Q4NmMtYThmNC00ZjRlLWEyZmItZTIwOTBlZDQ3NTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg', u'width': 1005, u'height': 1500}",452514,8.6,tt0118799,Life Is Beautiful,feature,1997
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMzI1MjI5MDQyOV5BMl5BanBnXkFtZTcwNzE4Mjg3NA@@._V1_.jpg', u'width': 682, u'height': 1023}",784066,8.6,tt0114814,The Usual Suspects,feature,1995
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjdjMGU3MGYtN2Y5ZC00MTE4LWE4YWQtMTBhMjc3MTk0ZDUwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg', u'width': 1660, u'height': 2500}",772062,8.6,tt0110413,Léon: The Professional,feature,1994
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTk3NTM1NTg1Ml5BMl5BanBnXkFtZTgwOTgzMTMyMDE@._V1_.jpg', u'width': 759, u'height': 1050}",451148,8.6,tt0245429,Spirited Away,feature,2001
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_.jpg', u'width': 800, u'height': 1177}",938419,8.6,tt0120815,Saving Private Ryan,feature,1998
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxOTEwOTU0MV5BMl5BanBnXkFtZTgwNDc4NjQ3MTI@._V1_.jpg', u'width': 1443, u'height': 2048}",229098,8.6,tt0064116,Once Upon a Time in the West,feature,1968
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BY2E2MWU5ZDktOTQ0OS00NGIzLTg4YTgtYjFhNTRlMjA1NzFjL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg', u'width': 2040, u'height': 3000}",826972,8.6,tt0120586,American History X,feature,1998
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjIxNTU4MzY4MF5BMl5BanBnXkFtZTgwMzM4ODI3MjE@._V1_.jpg', u'width': 1311, u'height': 2048}",1027121,8.6,tt0816692,Interstellar,feature,2014
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_.jpg', u'width': 500, u'height': 754}",408369,8.5,tt0034583,Casablanca,feature,1942
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BZDRjMmI3ZjgtMGE3Mi00NjY5LTg0NWMtMmU3YzgyMjhmMjIzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg', u'width': 730, u'height': 1103}",116600,8.6,tt0021749,City Lights,feature,1931
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMDI3OWRmOTEtOWJhYi00N2JkLTgwNGItMjdkN2U0NjFiZTYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg', u'width': 909, u'height': 1371}",448780,8.5,tt0054215,Psycho,feature,1960
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_.jpg', u'width': 500, u'height': 740}",840927,8.5,tt0120689,The Green Mile,feature,1999
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_.jpg', u'width': 1382, u'height': 2048}",548386,8.6,tt1675434,The Intouchables,feature,2011
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BYjJiZjMzYzktNjU0NS00OTkxLWEwYzItYzdhYWJjN2QzMTRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg', u'width': 578, u'height': 900}",154072,8.5,tt0027977,Modern Times,feature,1936
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0ODEzMTc1Nl5BMl5BanBnXkFtZTcwODM2MjAxNA@@._V1_.jpg', u'width': 1021, u'height': 1536}",697249,8.5,tt0082971,Raiders of the Lost Ark,feature,1981
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg', u'width': 923, u'height': 1351}",334994,8.5,tt0047396,Rear Window,feature,1954
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BOWRiZDIxZjktMTA1NC00MDQ2LWEzMjUtMTliZmY3NjQ3ODJiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg', u'width': 787, u'height': 1087}",533853,8.5,tt0253474,The Pianist,feature,2002
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_.jpg', u'width': 450, u'height': 665}",926278,8.5,tt0407887,The Departed,feature,2006
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BZDM2YjYwYWMtMWZlNi00ZDQxLWExMDctMDAzNzQ0OTkzZjljXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg', u'width': 1689, u'height': 2500}",784578,8.5,tt0103064,Terminator 2: Judgment Day,feature,1991
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg', u'width': 1218, u'height': 1893}",781534,8.5,tt0088763,Back to the Future,feature,1985
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BOTVhMWQ5MDktMGE3OS00MjVlLWExZWYtMzY2MTg4ZGFiZDQ5L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg', u'width': 2025, u'height': 3000}",464994,8.5,tt2582802,Whiplash,feature,2014
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwMzQzNTQ1Ml5BMl5BanBnXkFtZTgwMDY2NTYxMTE@._V1_.jpg', u'width': 930, u'height': 1377}",1040901,8.5,tt0172495,Gladiator,feature,2000
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BZTcyNjk1MjgtOWI3Mi00YzQwLWI5MTktMzY4ZmI2NDAyNzYzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg', u'width': 1022, u'height': 1500}",893241,8.5,tt0209144,Memento,feature,2000
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BODViM2VjYWYtMzU5Ny00ZjczLWEzNjMtODZmNGMwZDAxNzJkXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_.jpg', u'width': 485, u'height': 740}",473846,8.5,tt0078788,Apocalypse Now,feature,1979
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_.jpg', u'width': 450, u'height': 667}",900261,8.5,tt0482571,The Prestige,feature,2006
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_.jpg', u'width': 1995, u'height': 2964}",690056,8.5,tt0110357,The Lion King,feature,1994
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNDNhN2IxZWItNGEwYS00ZDNhLThiM2UtODU3NWJlZjBkYjQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg', u'width': 914, u'height': 1342}",599414,8.5,tt0078748,Alien,feature,1979
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNTkxYjUxNDYtZGY0My00NTc2LThiZmYtNmNmNmU0NGVkZWYwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg', u'width': 653, u'height': 1000}",360294,8.5,tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,feature,1964
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3NDYzODAwNV5BMl5BanBnXkFtZTgwODg1MTczMTE@._V1_.jpg', u'width': 332, u'height': 500}",147678,8.5,tt0043014,Sunset Blvd.,feature,1950
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMmExYWJjNTktNGUyZS00ODhmLTkxYzAtNWIzOGEyMGNiMmUwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg', u'width': 1200, u'height': 1773}",147449,8.5,tt0032553,The Great Dictator,feature,1940
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjIzMTgzOTEwOF5BMl5BanBnXkFtZTgwNTUxNjcxMTE@._V1_.jpg', u'width': 337, u'height': 499}",163280,8.5,tt0095765,Cinema Paradiso,feature,1988
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNDUzNjYwNDYyNl5BMl5BanBnXkFtZTcwNjU3ODQ0MQ@@._V1_.jpg', u'width': 450, u'height': 675}",274677,8.5,tt0405094,The Lives of Others,feature,2006
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BZjEwNDVhZjMtYzA1MS00ZWUxLThjOGUtZTliNGZiNGYyMjA3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg', u'width': 2122, u'height': 3000}",150966,8.5,tt0095327,Grave of the Fireflies,feature,1988
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BOTI5Nzc0OTMtYzBkMS00NjkxLThmM2UtNjM2ODgxN2M5NjNkXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_.jpg', u'width': 1045, u'height': 1600}",128622,8.5,tt0050825,Paths of Glory,feature,1957
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_.jpg', u'width': 1382, u'height': 2048}",1024018,8.4,tt1853728,Django Unchained,feature,2012
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BZWFlYmY2MGEtZjVkYS00YzU4LTg0YjQtYzY1ZGE3NTA5NGQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg', u'width': 627, u'height': 953}",650737,8.4,tt0081505,The Shining,feature,1980
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjI1MjkzMjczMV5BMl5BanBnXkFtZTgwNDk4NjYyMTI@._V1_.jpg', u'width': 1015, u'height': 1500}",184659,8.5,tt3315342,Logan,feature,2017
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_.jpg', u'width': 1382, u'height': 2048}",766409,8.4,tt0910970,WALL·E,feature,2008
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjM4NTI5NzYyNV5BMl5BanBnXkFtZTgwNTkxNTYxMTE@._V1_.jpg', u'width': 930, u'height': 1377}",867295,8.4,tt0169547,American Beauty,feature,1999
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_.jpg', u'width': 486, u'height': 720}",1208720,8.5,tt1345836,The Dark Knight Rises,feature,2012
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNjFhNGVjNzYtYTYzYS00N2Q5LTk1OGEtMzFiZTYyNjliMGE0XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg', u'width': 736, u'height': 1000}",238995,8.4,tt0119698,Princess Mononoke,feature,1997
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNGYxMTA0M2EtYjg0Yy00NzI5LTg4NjEtZDA2MTcyOWM0YTVjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg', u'width': 495, u'height': 755}",514711,8.4,tt0090605,Aliens,feature,1986
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_.jpg', u'width': 450, u'height': 666}",380677,8.4,tt0364569,Oldboy,feature,2003
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMGFkNWI4MTMtNGQ0OC00MWVmLTk3MTktOGYxN2Y2YWVkZWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg', u'width': 910, u'height': 1422}",234261,8.4,tt0087843,Once Upon a Time in America,feature,1984
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0MjgyNTUyNF5BMl5BanBnXkFtZTcwNDQzMDg0Nw@@._V1_.jpg', u'width': 682, u'height': 1023}",68761,8.4,tt0051201,Witness for the Prosecution,feature,1957
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2Mjc1MDQwMl5BMl5BanBnXkFtZTcwNzUyOTUyMg@@._V1_.jpg', u'width': 338, u'height': 500}",313223,8.4,tt0033467,Citizen Kane,feature,1941
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNGRmOWY0MGUtNTVhMy00NzRlLTljNDAtNTBiNTRlODgxNmY2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg', u'width': 580, u'height': 812}",177187,8.4,tt0082096,Das Boot,feature,1981
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjQwMTQ0MzgwNl5BMl5BanBnXkFtZTgwNjc4ODE4MzE@._V1_.jpg', u'width': 1309, u'height': 2048}",231061,8.4,tt0053125,North by Northwest,feature,1959
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BYTE4ODEwZDUtNDFjOC00NjAxLWEzYTQtYTI1NGVmZmFlNjdiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg', u'width': 2703, u'height': 4189}",265219,8.4,tt0052357,Vertigo,feature,1958
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMzUzNDM2NzM2MV5BMl5BanBnXkFtZTgwNTM3NTg4OTE@._V1_.jpg', u'width': 4050, u'height': 6000}",213331,8.4,tt3783958,La La Land,feature,2016
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BODllZjg2YjUtNWEzNy00ZGY2LTgyZmQtYTkxNDYyOWM3OTUyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg', u'width': 908, u'height': 1424}",730941,8.4,tt0086190,Star Wars: Episode VI - Return of the Jedi,feature,1983
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNDc0YWFhMmQtOTFhZC00MzViLTlkNjctMWUzYTI2YWFkNzVlXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_.jpg', u'width': 1000, u'height': 1500}",705735,8.3,tt0105236,Reservoir Dogs,feature,1992
True,"{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNTMyNGE1ODQtYTNiNS00ZTUyLThhZjktMTgyOGZkZThlYTc3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg', u'width': 1280, u'height': 1891}",778436,8.4,tt0112573,Braveheart,feature,1995
