title,location,company,salary,city,state
Certifying Scientist,"Nashville, TN 37228",Aegis Sciences Corporation,,Nashville,TN
Machine Learning Specialist,"Nashville, TN",Advent Health Partners,,Nashville,TN
NLP Data Scientist,"Nashville, TN 37211",LEAD Public Schools,,Nashville,TN
Data Scientist,"Nashville, TN 37211",LEAD Public Schools,,Nashville,TN
Data Scientist (Relocation Offered),"Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
"AI Research/Software Development Engineer, Alexa Artificial...","Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
"Software Development Engineer, Big Data Analytics- Relocatio...","Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
Research Analyst,"Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
Software Development Engineer: Big Data Quality & Stats- Rel...,United States,Enterprise Integration,,Nashville,TN
Data Scientist (Relocation Offered),"Nashville, TN 37203","Amedisys, Inc.",,Nashville,TN
Data Scientist,United States,Predictive Science,,Nashville,TN
Machine Learning Specialist,"Nashville, TN",Advent Health Partners,,Nashville,TN
Certifying Scientist,"Nashville, TN",Tennessee State Courts,,Nashville,TN
NLP Data Scientist,"Nashville, TN",3Cords Solutions,,Nashville,TN
Machine Learning Specialist,"Nashville, TN",Advent Health Partners,,Nashville,TN
Data Scientist,United States,Predictive Science,,Nashville,TN
Certifying Scientist,"Nashville, TN",3Cords Solutions,,Nashville,TN
NLP Data Scientist,"Nashville, TN",Tennessee State Courts,,Nashville,TN
Data Scientist (Relocation Offered),"Nashville, TN",Advent Health Partners,,Nashville,TN
Data Scientist (Relocation Offered),"Nashville, TN 37203","Amedisys, Inc.",,Nashville,TN
Machine Learning Specialist,"Nashville, TN",Advent Health Partners,,Nashville,TN
Data Scientist,United States,Predictive Science,,Nashville,TN
Certifying Scientist,"Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
NLP Data Scientist,"Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
"AI Research/Software Development Engineer, Alexa Artificial...","Nashville, TN 37211",LEAD Public Schools,,Nashville,TN
"Software Development Engineer, Big Data Analytics- Relocatio...","Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
Software Development Engineer: Big Data Quality & Stats- Rel...,"Nashville, TN 37203",NeuroLogica,,Nashville,TN
Data Scientist (Relocation Offered),"Nashville, TN 37203","Amedisys, Inc.",,Nashville,TN
Machine Learning Specialist,"Nashville, TN",Advent Health Partners,,Nashville,TN
NLP Data Scientist,"Nashville, TN",3Cords Solutions,,Nashville,TN
Certifying Scientist,"Nashville, TN",Tennessee State Courts,,Nashville,TN
Data Scientist,"Nashville, TN",Advent Health Partners,,Nashville,TN
Data Scientist (Relocation Offered),"Nashville, TN 37203","Amedisys, Inc.",,Nashville,TN
Machine Learning Specialist,"Nashville, TN",Advent Health Partners,,Nashville,TN
Data Scientist,United States,Predictive Science,,Nashville,TN
Certifying Scientist,"Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
NLP Data Scientist,"Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
"AI Research/Software Development Engineer, Alexa Artificial...","Nashville, TN 37211",LEAD Public Schools,,Nashville,TN
"Software Development Engineer, Big Data Analytics- Relocatio...","Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
Software Development Engineer: Big Data Quality & Stats- Rel...,"Nashville, TN 37203",NeuroLogica,,Nashville,TN
Machine Learning Specialist,"Nashville, TN",Advent Health Partners,,Nashville,TN
Data Scientist,United States,Predictive Science,,Nashville,TN
NLP Data Scientist,"Nashville, TN",Advent Health Partners,,Nashville,TN
Certifying Scientist,"Nashville, TN",Tennessee State Courts,,Nashville,TN
Data Scientist (Relocation Offered),"Nashville, TN",3Cords Solutions,,Nashville,TN
Data Scientist,United States,Predictive Science,,Nashville,TN
Machine Learning Specialist,"Nashville, TN",Advent Health Partners,,Nashville,TN
NLP Data Scientist,"Nashville, TN",3Cords Solutions,,Nashville,TN
Certifying Scientist,"Nashville, TN",Tennessee State Courts,,Nashville,TN
Data Scientist (Relocation Offered),"Nashville, TN",Advent Health Partners,,Nashville,TN
Data Scientist,United States,Predictive Science,,Nashville,TN
Machine Learning Specialist,"Nashville, TN",Advent Health Partners,,Nashville,TN
"AI Research/Software Development Engineer, Alexa Artificial...","Nashville, TN",3Cords Solutions,,Nashville,TN
NLP Data Scientist,"Nashville, TN",Tennessee State Courts,,Nashville,TN
Data Scientist (Relocation Offered),"Nashville, TN",Advent Health Partners,,Nashville,TN
Data Scientist (Relocation Offered),"Nashville, TN 37203","Amedisys, Inc.",,Nashville,TN
Data Scientist,United States,Predictive Science,,Nashville,TN
Certifying Scientist,"Nashville, TN",Advent Health Partners,,Nashville,TN
NLP Data Scientist,"Nashville, TN",Tennessee State Courts,,Nashville,TN
Machine Learning Specialist,"Nashville, TN",3Cords Solutions,,Nashville,TN
Data Scientist (Relocation Offered),"Nashville, TN 37203","Amedisys, Inc.",,Nashville,TN
Data Scientist,United States,Predictive Science,,Nashville,TN
Certifying Scientist,"Nashville, TN",3Cords Solutions,,Nashville,TN
NLP Data Scientist,"Nashville, TN",Tennessee State Courts,,Nashville,TN
Machine Learning Specialist,"Nashville, TN",Advent Health Partners,,Nashville,TN
Data Scientist (Relocation Offered),"Nashville, TN 37203","Amedisys, Inc.",,Nashville,TN
Machine Learning Specialist,"Nashville, TN",Advent Health Partners,,Nashville,TN
Data Scientist,United States,Predictive Science,,Nashville,TN
Certifying Scientist,"Nashville, TN 37211",LEAD Public Schools,,Nashville,TN
NLP Data Scientist,"Nashville, TN 37211",LEAD Public Schools,,Nashville,TN
"AI Research/Software Development Engineer, Alexa Artificial...","Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
"Software Development Engineer, Big Data Analytics- Relocatio...","Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
Software Development Engineer: Big Data Quality & Stats- Rel...,"Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
Data Scientist (Relocation Offered),"Nashville, TN 37203","Amedisys, Inc.",,Nashville,TN
Machine Learning Specialist,"Nashville, TN",Advent Health Partners,,Nashville,TN
Data Scientist,United States,Predictive Science,,Nashville,TN
Certifying Scientist,"Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
NLP Data Scientist,"Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
"AI Research/Software Development Engineer, Alexa Artificial...","Nashville, TN 37211",LEAD Public Schools,,Nashville,TN
"Software Development Engineer, Big Data Analytics- Relocatio...","Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
Software Development Engineer: Big Data Quality & Stats- Rel...,"Nashville, TN 37203",NeuroLogica,,Nashville,TN
Data Scientist (Relocation Offered),"Nashville, TN 37203","Amedisys, Inc.",,Nashville,TN
Data Scientist,United States,Predictive Science,,Nashville,TN
NLP Data Scientist,"Nashville, TN",Advent Health Partners,,Nashville,TN
"AI Research/Software Development Engineer, Alexa Artificial...","Nashville, TN",Tennessee State Courts,,Nashville,TN
Machine Learning Specialist,"Nashville, TN",3Cords Solutions,,Nashville,TN
Data Scientist (Relocation Offered),"Nashville, TN 37203","Amedisys, Inc.",,Nashville,TN
Data Scientist,United States,Predictive Science,,Nashville,TN
Certifying Scientist,"Nashville, TN",Advent Health Partners,,Nashville,TN
NLP Data Scientist,"Nashville, TN",Tennessee State Courts,,Nashville,TN
Machine Learning Specialist,"Nashville, TN",3Cords Solutions,,Nashville,TN
Data Scientist (Relocation Offered),"Nashville, TN 37203","Amedisys, Inc.",,Nashville,TN
Data Scientist,United States,Predictive Science,,Nashville,TN
Certifying Scientist,"Nashville, TN",3Cords Solutions,,Nashville,TN
NLP Data Scientist,"Nashville, TN",Tennessee State Courts,,Nashville,TN
Machine Learning Specialist,"Nashville, TN",Advent Health Partners,,Nashville,TN
Data Scientist (Relocation Offered),"Nashville, TN 37203","Amedisys, Inc.",,Nashville,TN
Machine Learning Specialist,"Nashville, TN",Advent Health Partners,,Nashville,TN
Data Scientist,"Nashville, TN 37211",LEAD Public Schools,,Nashville,TN
Certifying Scientist,"Nashville, TN 37211",LEAD Public Schools,,Nashville,TN
NLP Data Scientist,"Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
"AI Research/Software Development Engineer, Alexa Artificial...","Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
"Software Development Engineer, Big Data Analytics- Relocatio...","Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
Research Analyst,"Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
Software Development Engineer: Big Data Quality & Stats- Rel...,United States,Predictive Science,,Nashville,TN
Data Scientist (Relocation Offered),"Nashville, TN 37203","Amedisys, Inc.",,Nashville,TN
Machine Learning Specialist,"Nashville, TN",Advent Health Partners,,Nashville,TN
Data Scientist,United States,Predictive Science,,Nashville,TN
Certifying Scientist,"Nashville, TN 37211",LEAD Public Schools,,Nashville,TN
NLP Data Scientist,"Nashville, TN 37211",LEAD Public Schools,,Nashville,TN
"AI Research/Software Development Engineer, Alexa Artificial...","Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
"Software Development Engineer, Big Data Analytics- Relocatio...","Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
Research Analyst,"Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
Data Scientist (Relocation Offered),"Nashville, TN 37203","Amedisys, Inc.",,Nashville,TN
Data Scientist,United States,Predictive Science,,Nashville,TN
Certifying Scientist,"Nashville, TN",Advent Health Partners,,Nashville,TN
NLP Data Scientist,"Nashville, TN",Tennessee State Courts,,Nashville,TN
Machine Learning Specialist,"Nashville, TN",3Cords Solutions,,Nashville,TN
Data Scientist (Relocation Offered),"Nashville, TN 37203","Amedisys, Inc.",,Nashville,TN
Machine Learning Specialist,"Nashville, TN",Advent Health Partners,,Nashville,TN
Data Scientist,United States,Predictive Science,,Nashville,TN
Certifying Scientist,"Nashville, TN 37211",LEAD Public Schools,,Nashville,TN
NLP Data Scientist,"Nashville, TN 37211",LEAD Public Schools,,Nashville,TN
"AI Research/Software Development Engineer, Alexa Artificial...","Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
"Software Development Engineer, Big Data Analytics- Relocatio...","Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
Software Development Engineer: Big Data Quality & Stats- Rel...,"Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
Data Scientist (Relocation Offered),"Nashville, TN 37203","Amedisys, Inc.",,Nashville,TN
Machine Learning Specialist,"Nashville, TN",Advent Health Partners,,Nashville,TN
Data Scientist,United States,Predictive Science,,Nashville,TN
Certifying Scientist,"Nashville, TN 37211",LEAD Public Schools,,Nashville,TN
NLP Data Scientist,"Nashville, TN 37211",LEAD Public Schools,,Nashville,TN
"AI Research/Software Development Engineer, Alexa Artificial...","Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
"Software Development Engineer, Big Data Analytics- Relocatio...","Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
Software Development Engineer: Big Data Quality & Stats- Rel...,"Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
Data Scientist (Relocation Offered),"Nashville, TN 37203","Amedisys, Inc.",,Nashville,TN
Machine Learning Specialist,"Nashville, TN",Advent Health Partners,,Nashville,TN
Data Scientist,United States,Predictive Science,,Nashville,TN
Certifying Scientist,"Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
NLP Data Scientist,"Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
"AI Research/Software Development Engineer, Alexa Artificial...","Nashville, TN 37211",LEAD Public Schools,,Nashville,TN
"Software Development Engineer, Big Data Analytics- Relocatio...","Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
Research Analyst,"Nashville, TN 37203",NeuroLogica,,Nashville,TN
Data Scientist (Relocation Offered),"Nashville, TN 37203","Amedisys, Inc.",,Nashville,TN
Machine Learning Specialist,"Nashville, TN",Advent Health Partners,,Nashville,TN
Data Scientist,United States,Predictive Science,,Nashville,TN
Certifying Scientist,"Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
NLP Data Scientist,"Nashville, TN 37232",Vanderbilt University Medical Center,,Nashville,TN
