,title,location,company,salary,city,state,parsed_salary
0,Automated Driving Research Scientist – Real-time Path Planni...,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI,NaN
1,Data Scientist,"Dearborn, MI",Ciber,NaN,Detroit,MI,NaN
2,Data Scientist Engineer,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI,NaN
3,Data Analytical Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
4,Descriptive Analytics - Data Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
5,R&D Quantitative Analyst – Machine Learning,"Novi, MI 48375",Antea®Group,NaN,Detroit,MI,NaN
6,Autonomous Driving Research Scientist – Real-time Robotic Vi...,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
7,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI,NaN
8,Automated Driving Research Scientist – Real-time Path Planni...,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI,NaN
9,Data Scientist,"Dearborn, MI",Ciber,NaN,Detroit,MI,NaN
10,Data Scientist Engineer,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI,NaN
11,Descriptive Analytics - Data Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
12,R&D Quantitative Analyst – Machine Learning,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
13,Autonomous Driving Research Scientist – Real-time Robotic Vi...,"Novi, MI 48375",Antea®Group,NaN,Detroit,MI,NaN
14,Data Scientist/Analyst,"Dearborn, MI",Millennium Software Incorporated,NaN,Detroit,MI,NaN
15,Data Scientist,"Dearborn, MI",Ciber,NaN,Detroit,MI,NaN
16,Data Analytical Scientist,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI,NaN
17,Descriptive Analytics - Data Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
18,Machine Learning for Autonomous Vehicles Research Engineer,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
19,R&D Quantitative Analyst – Machine Learning,"Novi, MI 48375",Antea®Group,NaN,Detroit,MI,NaN
20,Descriptive Analytics - Data Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI,NaN
21,Data Scientist/Analyst,"Dearborn, MI",Millennium Software Incorporated,NaN,Detroit,MI,NaN
22,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI,NaN
23,Data Scientist,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI,NaN
24,Machine Learning for Autonomous Vehicles Research Engineer,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
25,Descriptive Analytics - Data Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI,NaN
26,Data Scientist/Analyst,"Dearborn, MI",Millennium Software Incorporated,NaN,Detroit,MI,NaN
27,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI,NaN
28,Data Scientist,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI,NaN
29,Machine Learning for Autonomous Vehicles Research Engineer,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
30,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI,NaN
31,Data Scientist,"Dearborn, MI",Ciber,NaN,Detroit,MI,NaN
