name,cuisine,blurb,ZIP,latitude,longitude,avg_USD,stars,bib,assiette,wine,view,garden,outside_dining,air_conditioning,no_dogs,parking,dinner_only,wheelchair,private_dining,with_rooms,booking,lunch_only,dinner_tasting,valet
Joe & MissesDoe, Contemporary,"Chef Joe and Jill Doe have revamped their earnest establishment with a tweaked menu and pared down interior look. Gone are the knickknacks that were previously sprinkled throughout this small room, which now seats about 30 at a single row of tables and long bar counter. From his station in the open kitchen, the chef gives American cuisine a creative re-working. Broccoli meets skordalia in an appetizer of caramelized florets dressed with grated pecorino, sliced almonds, pistachios, and toasted garlic. Beef brisket is slow-braised then griddled, and plated with house-made steak sauce and spicy radish chow-chow. A sundae of chocolate chip banana bread with vanilla ice cream and bananas Foster sauce is yet another example of this enjoyable hybrid cuisine.",10003,40.72379,-73.98969,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East 12th Osteria, Italian,"On the one hand, this is a straightforward little corner trattoria. On the other, Chef Roberto Deiaco's exciting cooking is a delicious presentation of Italian tastes and technique. The front of house is run by the chef's wife, who lends a personal and intimate air that's hard to fake and increasingly rare. The room glows with good vibes that radiate across the hardwood floor, marble bar, and tin ceiling. Contemporary highlights accent the Northern Italian-focused menu of fritto di mare neatly piling hot and delicately crisp calamari, red mullet, jumbo shrimp and a zucchini blossom. Tagliolini all'uovo is twirled with basil pesto, ricotta salata, and black truffle; and slowly braised veal cheeks are coddled with pinot bianco gremolata sauce and polenta.",10003,40.73014,-73.98358,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pagani, Italian,"With witty cocktails, cured meats, and rustico nuovo décor, Pagani brings an extra dose of Italian charm to Bleecker Street, and a good one at that. Flauting a vibrant scene of locals guzzling indigenous Italian wines and Averna-steeped drinks, this brainchild of Massimo Lusardi targets a younger brood where authenticity and creativity go hand-in-hand. His family may own several other restaurants, but sizeable portions of house-made pasta with updated embellishments (think: montasio cheese topping a decadent ragù of veal and pork) highlight balance and excellence. Just as veal shoulder arrives unbelievably fragrant and tender with herb-rubbed, toasted bread; rigatoni with braised rabbit and sweet carrots feel like a match made in culinary heaven.",10014,40.732143,-74.00348,37.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Armani Ristorante, Italian,"At Giorgio Armani's Fifth Avenue restaurant what you're wearing is as important as what you're eating. Overlooking the famous street, models serve as (distracted) staff members and bartenders are pure showstoppers-to no one's surprise. Would you expect anything less of the man whose luxurious Armani Casa furniture lines the space? His streamlined and modern aesthetic prevails, right down to the glistening, ruby-red tuna tartare. Each cube cut by hand, the sea-fresh fish rolls in truffle oil and chives with briny sea beans and trout roe for a fantastic play on texture. Equally precise, the pan-seared spring flounder is infused with a coriander reduction, fresh porcini, and fennel with an airy foam that looks so good it may as well be Photoshopped.",10022,40.762127,-73.974144,62.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Emilio's Ballato, Italian,"This unassuming Houston St. standard is an unsung hero, even if many walk past Emilio's gold- and red-etched window and write it off as some run-of-the-mill red sauce joint. Step inside the narrow, weathered space, where owner Emilio Vitolo offers each guest a personal welcome and a genuine Italian-American experience. The menu is filled with pasta classics like Roman cacio e pepe, tossed with sharp pecorino cheese and freshly ground black pepper. Signature specialties include pollo Emilio, a delicately breaded chicken cutlet draped in lemon-caper sauce; and plump clams oreganata speckled with garlicky breadcrumbs. Crisp cannoli shells filled with vanilla- and cinnamon-tinged ricotta cream rival any other version found from Palermo to Siracusa.",10012,40.72462,-73.99447,37.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Khe-Yo, Asian,"This Laotian hot spot serves up vibrant family-style plates brimming with tart and spicy notes that pack a punch-make that a Bang Bang, actually, as in the house sauce of mixed chilies, cilantro, fish sauce, and garlic served to diners as a welcome along with a basket of sticky rice. The food is worth braving the wait and decibel levels, so sip a craft brew or cocktail before digging in. Start with a plate of wide rice noodles and bits of slow-cooked pork in a coconut-rich yellow curry garnished with herbs, bean sprouts, and slivered banana blossom. Banana leaf-steamed red snapper is another beautifully prepared item, served with crisped artichoke hearts, Chinese broccoli, and more of that sauce. Bright and bitter grapefruit sorbet is a fitting finish.",10013,40.716835,-74.00879,37.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atrium, Contemporary,"This industrial bi-level space has a rather iconic setting along the waterfront, between the Brooklyn and Manhattan bridges. Dark wood dominates the light-filled interior, amid metal accents and walls that sprout greenery to soften the room. The food may have a farm-to-table focus, but a contemporary tilt is clear in everything that emerges from Atrium's bustling open kitchen. Elegant ""baby greens"" arrive as enticingly charred root vegetables over peppery arugula coulis; whereas crisply seared red snapper served over wild rice with dashi-simmered baby turnips, meaty mushrooms, and finished with a rich fumet makes the chef's (Laurent Kalkotour) French heritage abundantly clear. The chocolate-dipped crème fraîche and quark cheesecake is deservedly popular.",11201,40.703716,-73.99059,62.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tong Sam Gyup Goo Yi, Korean,"Murray Hill is no stranger to Korean food, but this prized, pig-loving barbecue destination is always packed. Inside, the bright room's décor forgoes all frills to focus on regional specialties. Smiling servers are earnest and hospitable. Begin with the usual but very exquisite banchan like pickled turnips, fermented bean paste soup, and specially aged house kimchi-funky, garlicky, and a total pleasure. Bowls of glassy naengmyun noodles dancing in a chilled broth with kimchi are just as popular. Yet what makes this place unique is that barbecue grill on each table, used for sizzling slices of flavorful duck with miso, garlic cloves, and bean sprouts; spicy, tender bits of octopus; and sweet, fatty pork with soy sauce, red chili paste, and scallions.",11358,40.762066,-73.803024,37.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toro, Spanish,"Trendy location? Check. Sleek, warehouse-sized space? Check. Floor-to-ceiling windows filled with romantic sunsets? Check. In brief, Toro is a head-turner graced with intent service and extraordinary food. Begin with inventive (and strong) crowd-pleasing sips at the impressive bar before settling in to a comfy communal table.The music gets louder at sundown, but find yourself fixated on such deeply flavorful pinchos as sardina y mantequilla de cabra (crusty bread spread with goat butter and preserved sardines) or aged duck ham kissed with olive oil, lemon zest, and sweet, delicious fat. Links of smoky, tender chorizo set over chickpea stew is a comforting creation, while inky-dark sepia risotto en su tinta made with orzo is rich, buttery, and perfect.",10011,40.74313,-74.007675,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Narcissa, Contemporary,"André Balaz's Standard East Village hotel is where you will find one of downtown's snazziest dining rooms. Richly stained wood furnishings in contrasting hues pair beautifully with tanned leather banquettes, sienna table linens, and perfectly calibrated lighting. The overall effect is warmer than a Malibu sunset. Chef John Fraser (of Dovetail) has assembled a formidable team to realize his vision of polished farm-to-table dining, starring seasonal produce from the Hudson Valley. Beets take a turn in the rotisserie oven and arrive for your pleasure as a warm salad with hearty bulgur, pickled cucumber, and a pool of horseradish cream. Poussin is roasted whole and set atop steel cut oats slicked with jus, spicy sausage, and oven-wilted radicchio.",10003,40.72806,-73.9909,37.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
