Country,Donation Min. ($),FY2006-FY2008 ($),FY2010-FY2012 ($),Difference (%)
Algeria,250000,649943709,2431535005,274
Australia,10000000,8030754085,23953849391,198
Bahrain,50000,219718802,630586020,187
Brunei,250000,101239902,19256846,-81
Canada,250000,20975621915,24844128294,18
Germany,100000,9147637319,9839619231,8
Ireland,5000000,144929678,107064341,-26
Italy,100000,6195891571,12274692168,98
Jamaica,50000,18572209,11360582,-39
Kuwait,5000000,1895298212,2109893611,11
Morocco,2000000,250045824,253096156,1
Netherlands,5000000,3069131994,4655490802,52
Norway,10000000,2718237833,3351140380,23
Oman,1000000,170597237,547003781,221
Qatar,1000000,271325915,4291824236,1482
Saudi Arabia,10000000,4105561815,8094719012,97
Taiwan,500000,2612251394,3811233565,46
Thailand,250000,656266680,1113283489,70
UAE,1000000,2261801903,24998754760,1005
United Kingdom,1000000,26225307395,38015933065,45
