Survived,Age,SibSp,Parch,Fare,class_2,class_3,male,embark_Q,embark_S,title_Miss,title_Mr,title_Mrs,title_Other
0,22.0,1,0,7.25,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,38.0,1,0,71.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,26.0,0,0,7.92,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,35.0,1,0,53.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,35.0,0,0,8.05,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,,0,0,8.46,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
0,54.0,0,0,51.86,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,2.0,3,1,21.07,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,27.0,0,2,11.13,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,14.0,1,0,30.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,4.0,1,1,16.7,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,58.0,0,0,26.55,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,20.0,0,0,8.05,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,39.0,1,5,31.27,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,14.0,0,0,7.85,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,55.0,0,0,16.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,2.0,4,1,29.13,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,,0,0,13.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,31.0,1,0,18.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,,0,0,7.22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,35.0,0,0,26.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,34.0,0,0,13.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,15.0,0,0,8.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,28.0,0,0,35.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,8.0,3,1,21.07,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,38.0,1,5,31.39,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,,0,0,7.22,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,19.0,3,2,263.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,,0,0,7.88,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,,0,0,7.9,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,40.0,0,0,27.72,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,,1,0,146.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,,0,0,7.75,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,66.0,0,0,10.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,28.0,1,0,82.17,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,42.0,1,0,52.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,,0,0,7.23,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,21.0,0,0,8.05,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,18.0,2,0,18.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,14.0,1,0,11.24,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,40.0,1,0,9.47,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,27.0,1,0,21.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,,0,0,7.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,3.0,1,2,41.58,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,19.0,0,0,7.88,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,,0,0,8.05,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,,1,0,15.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
1,,0,0,7.75,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,,2,0,21.68,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,18.0,1,0,17.8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,7.0,4,1,39.69,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,21.0,0,0,7.8,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,49.0,1,0,76.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,29.0,1,0,26.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,65.0,0,1,61.98,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,,0,0,35.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,21.0,0,0,10.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,28.5,0,0,7.23,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,5.0,1,2,27.75,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,11.0,5,2,46.9,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,22.0,0,0,7.23,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,38.0,0,0,80.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,45.0,1,0,83.47,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,4.0,3,2,27.9,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,,0,0,27.72,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,,1,1,15.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,29.0,0,0,10.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,19.0,0,0,8.16,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,17.0,4,2,7.92,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,26.0,2,0,8.66,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
