,title,location,company,city,state,parsed_salary
69,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
70,Project Associate,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
71,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
72,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
73,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
74,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
75,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
76,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
77,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
78,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
79,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
80,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
81,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
82,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
83,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
84,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
85,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
86,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
87,Project Associate,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
88,Project Associate,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
89,Financial Statistician Healthcare,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
90,Financial Statistician Healthcare,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
91,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
92,Financial Statistician Healthcare,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
93,Financial Statistician Healthcare,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
94,Financial Statistician Healthcare,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
95,Financial Statistician Healthcare,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
96,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
97,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
98,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
99,Project Associate,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
100,Project Associate,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
101,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
102,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,Houston,TX,77500.0
