,title,location,company,salary,city,state
0,Automated Driving Research Scientist – Real-time Path Planni...,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
1,Data Scientist,"Dearborn, MI",Ciber,NaN,Detroit,MI
2,Data Scientist Engineer,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
3,Data Analytical Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
4,Descriptive Analytics - Data Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
5,R&D Quantitative Analyst – Machine Learning,"Novi, MI 48375",Antea®Group,NaN,Detroit,MI
6,Autonomous Driving Research Scientist – Real-time Robotic Vi...,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
7,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
8,Automated Driving Research Scientist – Real-time Path Planni...,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
9,Data Scientist,"Dearborn, MI",Ciber,NaN,Detroit,MI
10,Data Scientist Engineer,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
11,Descriptive Analytics - Data Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
12,R&D Quantitative Analyst – Machine Learning,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
13,Autonomous Driving Research Scientist – Real-time Robotic Vi...,"Novi, MI 48375",Antea®Group,NaN,Detroit,MI
14,Data Scientist/Analyst,"Dearborn, MI",Millennium Software Incorporated,NaN,Detroit,MI
15,Data Scientist,"Dearborn, MI",Ciber,NaN,Detroit,MI
16,Data Analytical Scientist,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
17,Descriptive Analytics - Data Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
18,Machine Learning for Autonomous Vehicles Research Engineer,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
19,R&D Quantitative Analyst – Machine Learning,"Novi, MI 48375",Antea®Group,NaN,Detroit,MI
20,Descriptive Analytics - Data Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
21,Data Scientist/Analyst,"Dearborn, MI",Millennium Software Incorporated,NaN,Detroit,MI
22,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
23,Data Scientist,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
24,Machine Learning for Autonomous Vehicles Research Engineer,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
25,Descriptive Analytics - Data Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
26,Data Scientist/Analyst,"Dearborn, MI",Millennium Software Incorporated,NaN,Detroit,MI
27,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
28,Data Scientist,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
29,Machine Learning for Autonomous Vehicles Research Engineer,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
30,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
31,Data Scientist,"Dearborn, MI",Ciber,NaN,Detroit,MI
32,Machine Learning for Autonomous Vehicles Research Engineer,"Troy, MI",Altair Engineering,NaN,Detroit,MI
33,Descriptive Analytics - Data Scientist,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
34,Data Scientist/Analyst,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
35,R&D Quantitative Analyst – Machine Learning,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
36,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
37,Data Scientist,"Dearborn, MI",Ciber,NaN,Detroit,MI
38,Machine Learning for Autonomous Vehicles Research Engineer,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
39,Descriptive Analytics - Data Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
40,Data Scientist/Analyst,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
41,R&D Quantitative Analyst – Machine Learning,"Novi, MI 48375",Antea®Group,NaN,Detroit,MI
42,Marketing Research Analyst,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
43,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
44,Data Scientist,"Dearborn, MI",Ciber,NaN,Detroit,MI
45,Machine Learning for Autonomous Vehicles Research Engineer,"Troy, MI",Altair Engineering,NaN,Detroit,MI
46,Descriptive Analytics - Data Scientist,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
47,Data Scientist/Analyst,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
