,title,location,company,salary,city,state,parsed_salary
0,Data Scientist,"Dearborn, MI",Ciber,NaN,Detroit,MI,NaN
1,Machine Learning for Autonomous Vehicles Research Engineer,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI,NaN
2,Data Scientist Engineer,"Troy, MI",Altair Engineering,NaN,Detroit,MI,NaN
3,Descriptive Analytics - Data Scientist,"Troy, MI",Altair Engineering,NaN,Detroit,MI,NaN
4,Data Analytical Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
5,R&D Quantitative Analyst,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
6,Machine Learning for Autonomous Vehicles Research Engineer,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI,NaN
7,Data Scientist,"Dearborn, MI",Ciber,NaN,Detroit,MI,NaN
8,Descriptive Analytics - Data Scientist,"Troy, MI",Altair Engineering,NaN,Detroit,MI,NaN
9,Marketing Research Analyst,"Troy, MI",Altair Engineering,NaN,Detroit,MI,NaN
10,Data Analytical Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
11,Data Scientist Engineer,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
12,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI,NaN
13,Descriptive Analytics - Data Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI,NaN
14,Data Scientist,"Dearborn, MI",Ciber,NaN,Detroit,MI,NaN
15,Data Scientist Engineer,"Troy, MI",Altair Engineering,NaN,Detroit,MI,NaN
16,Machine Learning for Autonomous Vehicles Research Engineer,"Troy, MI",Altair Engineering,NaN,Detroit,MI,NaN
17,R&D Quantitative Analyst,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
18,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI,NaN
19,Descriptive Analytics - Data Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI,NaN
20,Machine Learning for Autonomous Vehicles Research Engineer,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI,NaN
21,Marketing Research Analyst,"Troy, MI",Altair Engineering,NaN,Detroit,MI,NaN
22,Data Scientist,"Troy, MI",Altair Engineering,NaN,Detroit,MI,NaN
23,Data Scientist Engineer,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
24,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI,NaN
25,Descriptive Analytics - Data Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI,NaN
26,Machine Learning for Autonomous Vehicles Research Engineer,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI,NaN
27,Marketing Research Analyst,"Troy, MI",Altair Engineering,NaN,Detroit,MI,NaN
28,Data Scientist,"Troy, MI",Altair Engineering,NaN,Detroit,MI,NaN
29,Data Scientist Engineer,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
30,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI,NaN
31,Data Scientist,"Dearborn, MI",Ciber,NaN,Detroit,MI,NaN
32,Marketing Research Analyst,"Troy, MI",Altair Engineering,NaN,Detroit,MI,NaN
33,Descriptive Analytics - Data Scientist,"Troy, MI",Altair Engineering,NaN,Detroit,MI,NaN
34,Machine Learning for Autonomous Vehicles Research Engineer,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
35,Data Scientist Engineer,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
36,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI,NaN
37,Data Scientist,"Dearborn, MI",Ciber,NaN,Detroit,MI,NaN
38,Marketing Research Analyst,"Troy, MI",Altair Engineering,NaN,Detroit,MI,NaN
39,Descriptive Analytics - Data Scientist,"Troy, MI",Altair Engineering,NaN,Detroit,MI,NaN
40,Machine Learning for Autonomous Vehicles Research Engineer,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
41,Data Scientist Engineer,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
42,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI,NaN
43,Machine Learning for Autonomous Vehicles Research Engineer,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI,NaN
44,Data Scientist Engineer,"Troy, MI",Altair Engineering,NaN,Detroit,MI,NaN
45,Descriptive Analytics - Data Scientist,"Troy, MI",Altair Engineering,NaN,Detroit,MI,NaN
46,Data Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI,NaN
