name,cuisine,blurb,price,author
"
	Salinas
",Cuisine Spanish,"
			Salinas is undeniably sexy. Step beyond the wrought-iron gates and squeeze your way past the bar to find the dusky scene. The patio dining room is where fashionistas nestle like pretty young things on button-tufted banquettes amid bunches of pink roses and flickering votives. A retractable glass roof shields the attractive Brazilian walnut floors and limestone walls from outside elements.The Spanish cuisine of Chef Luis Bollo, a native of San Sebastián, sparkles with coastal influences. Tapas are muy creative and include boquerones over delicate toast strips spread with smashed avocado. The fideos negros y crujientes is an ink-stained mound of toasted vermicelli, cuttlefish, and aïoli foam grandly stirred together upon presentation.
				","
			From 50 USD
			to 74 USD
",MICHELIN guide inspectors
"
	Colonie
",Cuisine Contemporary,"
			Hip and lively (both the crowd and the green wall of lush plants that is), this is a buzzing retreat for taking in all that makes Brooklyn so enticing. There is the exposed brick dining room and the ceilings of distressed wood, of course, along with the requisite long bar and perhaps most important, a sharp crowd who give Colonie its measured dose of cool. Start with crostini, perhaps laden with egg salad, a ribbon of lardo and drizzle of veal jus. A deeply nutty rye berry ragout brings together crispy mushrooms, cabbage, and a perfectly fried duck egg. Opt for the whole market fish, served deboned with tart and herbaceous salsa verde, crisp garlic, and roasted lemon. Be sure to save room for warm, yeasty sugar donuts stuffed with Chantilly cream.
				","
			From 25 USD
			to 49 USD
",MICHELIN guide inspectors
"
	Sottocasa
",Cuisine Pizza,"
			Located just below street level on frenetic Atlantic Avenue, a nondescript façade holds a quiet den of serious Neapolitan pizza magic. Enter and you'll find a simple, narrow, wood-paneled room with whitewashed brick walls; a little bar showcasing a handful of wines; an enormous, two-ton clay oven (imported directly from Naples); and a little patio out back for alfresco dining. The mood is decidedly relaxed, and while there are delicious salads, antipasti, and desserts to be tried at Sottocasa, the name of the game here is undoubtedly their wickedly good pizza, served folded, blanche or rosse (with-hurrah!-a gluten-free option as well). Regulars adore the Diavola pie, which comes laced with excellent mozzarella, fresh basil, black olives, and hot sopressata.
				","
			From 25 USD
			to 49 USD
",MICHELIN guide inspectors
"
	Hibino
",Cuisine Japanese,"
			The team at this demure retreat isn't constrained by a menu. Instead, diners are greeted by servers bearing blackboards that list the day's offerings. The list of obanzai (Kyoto-style tapas) are enticing and include marinated, fried chicken thigh with tartar sauce, grilled pork sausage, or roasted oysters with spicy gazpacho. The kitchen's regional dedication is also evident in its offering of Osaka's traditional hako sushi. This box-pressed preparation might be served as a layering of quality rice, shiso, kanpyo (preserved gourd), and salmon. Meanwhile, lunch is a concise affair that reveals either a bento box or platter of nigiri accompanied by a neatly stuffed futomaki. Of course, if lunch seems limited, come back for dinner when the kitchen truly shines.
				","
			From 13 USD
			to 24 USD
",MICHELIN guide inspectors
"
	Ki Sushi
",Cuisine Japanese,"
			Smith Street offers plenty of dining option to choose from, but Ki is this strip's sushi standout. Low-key and proffering good value, it is also a neighborhood favorite. At lunch, find downtown Brooklyn professionals taking a respite from the day's proceedings. At night, young couples and families routinely pack the room that brandishes a dim and earthy mien. Sample an array of cold and hot appetizers like yellowtail tartare with yuzu-ginger vinaigrette or rock shrimp tempura with creamy-spicy sauce. Follow this with creative maki, or better yet, the sushi deluxe platter. The skillfully constructed nigiri lineup features an array of fluke, sea bream, amberjack, and mackerel, as well as a roll stuffed with lean and deliciously unadulterated tuna.
				","
			From 25 USD
			to 49 USD
",MICHELIN guide inspectors
"
	French Louie
",Cuisine Mediterranean,"
			From the team behind Buttermilk Channel, French Louie combines a candlelit vibe with rustic touches and a dominantly Mediterranean menu in a welcoming setting that's become the neighborhood hideaway. Whether you perch at the mahogany bar or in the spacious backyard, be sure to come hungry for the splurge-worthy cheese plate and profiteroles-golden, puffy and encapsulating a fennel pollen-flavored ice cream. For a dish to share, try the Le Grand Socca, not normally found outside Liguria (where's it's called farinata) or the South of France. A bit thicker than the traditional, this pizza-sized crêpe arrives topped with a shelled-bean stew, charred asparagus, freekeh, and spiced lemon yogurt, with just the right amount of smokiness from the skillet.
				","
			From 25 USD
			to 49 USD
",MICHELIN guide inspectors
"
	Chef's Table at Brooklyn Fare
",Cuisine Contemporary,"
			At 7:00 P.M. this storefront attached to a gourmet grocer turns into something conceptual and remarkable. Here, Chef César Ramirez-the bespectacled authoritarian-stands center stage, surrounded by sous chefs and state-of-the-art everything. He personally welcomes every guest to his ""table"" which is actually a gleaming steel counter surrounding his kitchen, where each copper pot is watched-over and every porcelain vessel is cooled or warmed to match the temperature of the food it holds. The bar for painstaking detail seems to rise with each dish. Expect a bang of flavor to open your meal, perhaps with a tart layering briny sea trout roe. Signatures like sea urchin piled over toasted brioche with a round of Périgord truffle never lose their impact. However, what was once an endless parade of seafood bites from faraway shores has grown and refined into equally lush mini-entrées. A square of Miyagi beef is whoa-inducing. Tiny wild strawberries, yogurt ice cream, and sake gelée balance each element with wondrous intensity. The menu changes every night, but Chef Ramirez never veers from his brilliant melding of French and Japanese cuisines with modern style that keeps pleasure at the forefront.
				","
			From 75 USD
			to 150 USD
",MICHELIN guide inspectors
"
	Mile End
",Cuisine Deli,"
			Boerum Hill's most bodacious deli serves up killer smoked meat and so much more. The tiny space gets lots of traffic, and those who can't find a seat along the counter or trio of communal tables can feast at home with takeout procured from the sidewalk window. Now for the food: a cured and smoked brisket sandwich, stacked onto soft rye bread and smacked with mustard, is the stuff that dreams are made of. Eclectic and vegetarian-friendly, the menu also reveals poutine (owner Noah Bernamoff is a Montreal native), roasted eggplant brik dotted with briny capers, pine nuts, and sweet raisins; as well as fresh-baked desserts like almond cake with house-made vanilla ice cream. Manhattanites take heed: there's a location now on Bond Street.
				","
			From 13 USD
			to 24 USD
",MICHELIN guide inspectors
"
	La Vara
",Cuisine Spanish,"
			Set in quiet and charming Cobble Hill, La Vara is as alluring as its surrounds. Inside, hip urbanites get down to business around the sleek marble bar; while stroller-rolling parents might migrate to curved leather booths or nestle in the wooden alcoves up front. In the main dining room, white tables set with contemporary crockery offer just the right contrast to rustic brick walls. From soft lighting and personable service, to countrified food and inventive presentations, this convivial respite never misses a beat. Embark on a journey to culinary heights with the visually strange but wonderful tasting remojón featuring a scoop of house-cured salt cod mingled with orange segments, pistachios, and sliced green olives. Then, sail on to fideuà or Valencian-style noodle paella tossed with fresh, briny clams, tender squid, and a creamy aïoli. With luck on your side, cochinillo (slow-cooked, amber-hued suckling pig with crackling skin and rose-quince sauce) or tortillita de gambas accompanied by a pale pink shrimp pâté may star on the menu. If not, rest easy as you can still have your cake (or in this case an orange blossom-scented walnut tart finished with lemon curd and cream) and eat it too.
				","
			From 25 USD
			to 49 USD
",MICHELIN guide inspectors
"
	Sociale
",Cuisine Italian,"
			Although the name evokes a swinging place with cocktails and conversation, Sociale proves much more than a neighborhood social club. With true Italian hospitality and a cozy corner location across from a throw-back cinema, Sociale has become the Brooklyn Heights spot to spend a lively Friday night. Regulars wedge up to the bar for glasses of mineral-rich Italian whites or crowd into a charming, lair-like dining room, where the table inches away from yours may host your newest companion. The menu sticks to classics, with perfectly cooked spaghetti in fresh and chunky pomodoro sauce; or veal loin wrapped in pancetta and drizzled with great veal jus. Come dessert, the banana and date bread pudding with Guinness gelato is absolutely delicious.
				","
			From 25 USD
			to 49 USD
",MICHELIN guide inspectors
"
	Ganso Ramen
",Cuisine Japanese,"
			A welcome sight amid the sneaker stores and pizza joints of commercial Fulton Mall, this friendly, comforting ramen-ya is a sure sign that things are changing in downtown Brooklyn. Inside, wood booths and tables sit atop stone floors while buzzing chefs are visible through encased glass. The same team has opened an equally appealing spot, Ganso Yaki, in Boerum Hill. Cookbook author and owner Harris Salat ensures that these steaming bowls of springy noodles remain a notch above those slurp shops opening throughout the city. Nightly specials are deftly executed, including a Mongolian lamb ramen in chili-sansho broth topped with slices of lamb, fried onions, garlic chives, and ajitama egg. Try pillowy steamed buns stuffed with pork belly or tangy duck.
				","
			From 13 USD
			to 24 USD
",MICHELIN guide inspectors
"
	Brucie
",Cuisine Italian,"
			Despite the tough guy name, this local canteen proudly claims the distinctly female touch of Chef/owner Zahra Tangorra. The pleasantly thrown-together space seats a diverse selection of patrons, many with kids in tow. Step in to find a smattering of tables, copper-topped dining counter, and shelves lined with canned products, jars, and bottles. Old-world inspiration combines with new-world sensibility and results in product-driven, mostly Italian creations like tagliatelle with Brussels sprouts, tomato butter, and house-made burrata. Then, savor the brined and barbecued chicken basted with earthy stout- and maple syrup-enriched sauce. Try the chef's signature lasagna service: drop off your empty pan and pick it up filled and ready to feed a crowd.
				","
			From 25 USD
			to 49 USD
",MICHELIN guide inspectors
"
	Jack the Horse
",Cuisine American,"
			A Brooklyn Heights favorite, this sleepy American tavern is a consistent spot in a neighborhood that lacks a variety of serious eats. Exposed brick walls covered with old-fashioned clocks set a cozy tone, and regulars return for the well-stocked bar with myriad bitters and a bargain three-course prix-fixe. Slurp a few bivalves at the Oyster Room next door before settling into a table, or if thirst beckons, sip an Old Fashioned with barrel strength Bourbon while perusing the menu. Some locals head straight for the burger-focaccia layered with Gruyère, caramelized Bourbon onions, and a juicy beef patty. Though ricotta and butternut squash ravioli, tossed in sweet brown butter and topped with crumbled smoky bacon, is a fine alternative.
				","
			From 25 USD
			to 49 USD
",MICHELIN guide inspectors
"
	Rucola
",Cuisine Contemporary,"
			Nestled among the brownstone-lined streets of beautiful Boerum Hill, this inviting trattoria is open all day. Rucola's attractive interior rocks that prototypical rusticity of reclaimed wood and aged mirrors, while tables are set with sprigs of fresh wild flowers. Yogurt and granola with local honey is part of the kitchen's repertoire, but the restaurant's Northern Italian influence fully comes into focus in the evenings. Vegetable antipasti, like spicy spears of pickled fennel, are offered alongside cured meats and imported cheeses. Arugula (that's rucola in Italiano) is tossed with shaved radish and a celery seed vinaigrette. Enjoyable entrées include a neat block of lasagna layering pasta sheets and hearty pork ragù with a creamy béchamel sauce.
				","
			From 25 USD
			to 49 USD
",MICHELIN guide inspectors
"
	Clover Club
",Cuisine American,"
			A former shoe store is now an atmospheric rest stop that fashions a spot-on vintage vibe with mosaic-tiled floors, glove-soft leather banquettes, and pressed-tin ceilings dangling etched-glass pendants that glow as warmly as single malt. The glossy mahogany bar (furnished with leather-upholstered bar stools) is overseen by natty bartenders artfully shaking and pouring a stellar selection of libations like the namesake Clover Club-a mixture of gin, dry vermouth, lemon, and raspberry syrup. An excellent savory carte is a perfect counterpoint to such liquid indulgences. Highlights may include herb-marinated hanger steak over toasted baguette spread with horseradish cream; duck fat-fried potato crisps; oysters on the half-shell; and American caviar service.
				","
			From 25 USD
			to 49 USD
",MICHELIN guide inspectors
"
	Strong Place
",Cuisine Gastropub,"
			Strong Place is a Cobble Hill favorite for its epic beer list, which offers more than 20 brews on tap plus over ten bottled options. Kick back, unwind, and drink up; the vibe is chill, and chunky tables with metal seating render a comfortable, vaguely industrial look. The snacks pair perfectly with their frosty pints-imagine spicy duck fat edamame, Cajun boiled peanuts, or a platter of iced shellfish from the raw bar. Stay on for dinner, because the menu offers plenty of proper options. Smooth asparagus and fennel soup sprinkled with crushed bacon gains its silken texture from puréed red bliss potatoes; while the thick, juicy lamb burger is topped with creamy feta cheese and accompanied by sun-dried tomato ketchup and rosemary salt-tossed French fries.
				","
			From 25 USD
			to 49 USD
",MICHELIN guide inspectors
"
	Jolie Cantina
",Cuisine Fusion,"
			A marriage of French and Mexican sensibilities is the guiding force behind Jolie Cantina's novel cuisine. The kitchen sates diners all-day with spins on the classics like a hot croque señor made with roasted poblanos, chorizo, melting Comté, and (bien-sûr) accompanied by excellent fries. The range of fascinating creations also includes Mexican steak tartare dressed with pickled jalapeños, tequila, and capers; as well as the Cantina cassoulet comprised of black beans and chicharrónes. The walls of this Cobble Hill corner spot feature whimsical artwork like a red-and-blue mural of roosters and piñatas, in a room furnished with bright red and yellow enameled chairs. Reiterating its French leaning, the bar hangs a sign that reads: ""Hecho en France.""
				","
			From 25 USD
			to 49 USD
",MICHELIN guide inspectors
"
	Pok Pok Ny
",Cuisine Thai,"
			Foodies flock to this penultimate scene not for the vibe, but for a profound understanding of Isaan culinary traditions. If pok pok means ""mortar and pestle"" then Chef Andy Ricker makes this utensil the foundation of his trademark cooking, which takes excellent local product and imparts it with American flair. The spacious room, outfitted with salvaged wood and exposed brick walls, is filled with a Brooklyn crowd. The kitchen has struggled with turnover and while some dishes remain solid as ever, others can disappoint. Top-quality boar collar coated in a flavorful rub of soy sauce, sugar, and spice is seared to chewy perfection before being coupled with cool mustard greens. Superb execution and pronounced flavors are clear in khanom jiin kaeng khiaw waan luuk chin plae, a tart and texturally exquisite green coconut curry floating with delicate fish balls and garnished with fried anchovies for unbeatable texture; and sai ua samun phrai or grilled Thai sausage accompanied by a spicy eggplant sauce, crispy pork cracklings, and a bouquet of long beans. Seal the deal with affogato-a shot of espresso poured over decadent condensed milk ice cream, which ensures nothing but sweet dreams.
				","
			From 25 USD
			to 49 USD
",MICHELIN guide inspectors
"
	Battersby
",Cuisine Contemporary,"
			This intimate Smith Street stunner is the domain of Co-chefs Joseph Ogrodnek and Walker Stern, also of Dover. The tiny kitchen at the back of the minimally decorated room belies the abundance of brilliance delivered by the short and sweet menu. Caserecci tossed with petite, al dente cauliflower florets, capers, currants, and a showering of crunchy breadcrumbs is a treat. Choosing the smaller portion size allows for more room to enjoy the lamb duo-rare seared loin and slow-braised belly-composed with a chickpea-and-piquillo pepper stew slicked with gorgeous lamb jus. For dessert, the chocolate mille-feuille with mint ganache and Fernet Branca whipped cream is like a Thin Mint made by very talented and very sophisticated Girl Scouts.
				","
			From 25 USD
			to 49 USD
",MICHELIN guide inspectors
"
	Gran Eléctrica
",Cuisine Mexican,"
			Looking to market ingredients and a California-style approach to Mexican cuisine, this chic yet comfortable restaurant impresses with its lovely décor and lively vibe. Servers are engaged and enthusiastic about the menu's pleasures. An ideal visit starts with a margarita at the bar and moves to the garden as strings of lights flicker to life. Mexico and Brooklyn are in balance on a menu that includes small plates such as memelitas de frijoles, a masa disc topped with mashed black beans, spicy salsa verde, queso fresco, and crema. Flavor is bright in the deliciously untraditional poblano chile relleno stuffed with Havarti, roasted tomato-jalapeño salsa, and tortillas. Try the frijoles de la olla (black beans topped with avocado) on the side.
				","
			From 25 USD
			to 49 USD
",MICHELIN guide inspectors
"
	Take Root
",Cuisine Contemporary,"
			If you're lucky enough to score one of the precious few seats here, make it your mission to arrive on time. The tasting menu's procession begins promptly, so stragglers run the risk of missing out on its first luscious bites-and to deprive yourself of a crunchy fennel pollen-dusted potato croquette would be nothing short of a culinary crime. Since this is strictly a two-woman operation, the military-like precision is easily forgiven. Chef Elise Kornack single-handedly runs the immaculate kitchen while her wife, Anna Hieronimus, congenially attends to the tranquil, intimate dining room. But, the team works in tandem when it comes to presenting the uniquely composed plates. Substitutes are not offered, but there's little chance you won't be happy with what's to come. Black garlic-glazed lamb's tongue anticucho is a stimulating opening act for a refreshing summertime composition of slivered snap peas, intensely flavorful tomato pulp, wild ginger, and a creamy drizzle of chocolate mint purée. The chef's style is a fresh and light approach to quality product as seen in asparagus dressed with oysters whipped into a froth or roasted local pork plated with diced celtuce and wild strawberries.
				","
			From 75 USD
			to 150 USD
",MICHELIN guide inspectors
"
	Enoteca on Court
",Cuisine Italian,"
			This Carroll Gardens wine bar is a fresh-faced take on la Cucina Italiana, almost in spite of its location next to the old-school stalwart Marco Polo. Slim, spare, and dishing out wood and brick details, the cozy spot accommodates neighborhood crowds at its L-shaped bar leading to the open kitchen and on to a handful of tables in the back. A wood-burning oven brings a distinct personality to a range of specialties here like pizzas, baked pastas, and spiedini (skewered meat or seafood). The piping-hot panini are always a treat, made from a slab of fresh pizza dough that's crusty yet moist within, stuffed with sweet sausage, melted fresh mozzarella, a drizzle of olive oil, and tender broccoli rabe. The possibilities and tempting combinations are endless.
				","
			From 13 USD
			to 24 USD
",MICHELIN guide inspectors
"
	Alma
",Cuisine Mexican,"
			This festive stalwart with a renowned rooftop has come a long way since its early days along this rather unromantic waterfront. Mexican artifacts and mirrors line the brick walls of this multi-story spot with a margarita-fueled vibe and food that puts a smile on every face. Alma's pleasing Mexican cooking focuses on good, clean ingredient combinations in a nuanced menu of simple, flavorful dishes. Go for a delicious standard like plump, tender short rib enchiladas in soft, flour tortillas with roasted ranchero, Gouda cheese, and pumpkin seed sauces. Be sure to add on baked arroz con queso, a decadent side of rice with tomato, poblano, and sharp cheddar. The classic palate-cooling flan is topped with an enticingly sticky mantel of caramel.
				","
			From 25 USD
			to 49 USD
",MICHELIN guide inspectors
"
	Atrium
",Cuisine Contemporary,"
			This industrial bi-level space has a rather iconic setting along the waterfront, between the Brooklyn and Manhattan bridges. Dark wood dominates the light-filled interior, amid metal accents and walls that sprout greenery to soften the room. The food may have a farm-to-table focus, but a contemporary tilt is clear in everything that emerges from Atrium's bustling open kitchen. Elegant ""baby greens"" arrive as enticingly charred root vegetables over peppery arugula coulis; whereas crisply seared red snapper served over wild rice with dashi-simmered baby turnips, meaty mushrooms, and finished with a rich fumet makes the chef's (Laurent Kalkotour) French heritage abundantly clear. The chocolate-dipped crème fraîche and quark cheesecake is deservedly popular.
				","
			From 50 USD
			to 74 USD
",MICHELIN guide inspectors
"
	The River Café
",Cuisine Contemporary,"
			Thanks to its enviable location and stunning skyline vistas, this waterside favorite more than lives up to its reputation as one of the dreamiest escapes in town. Delicate details like fresh, fragrant flowers, beautifully set tables, and cozy rattan chairs make for romantic environs-and though the tight space has a way of turning intimate whispers into public displays of affection, all will be forgiven after a bite or two of Chef Brad Steelman's solid-as-ever cuisine. Launch into plump wild shrimp smothered in creamy Hollandaise and served with crunchy white asparagus for added texture; or the perfectly crisped crab cake arranged with creamy uni, avocado, and a light herb salad. Pearly white halibut with roasted maitakes is a testament to the kitchen's focus on simplicity and supreme freshness, while a glistening rack of mint- and mustard seed-glazed lamb-charred on the outside with an evenly pink interior-exemplifies its artistry. Enjoy dessert, as the mouthwatering offerings (think milk chocolate soufflé with melted marshmallow, or dark chocolate marquise topped with a replica of the nearby Brooklyn Bridge) are a veritable education in soigné presentations and sumptuous flavors.
				","
			From 75 USD
			to 150 USD
",MICHELIN guide inspectors
"
	Vinegar Hill House
",Cuisine American,"
			Find this carriage house just steps from the historic Commandant's House and Navy Yard, in a neighborhood that is quickly becoming a beacon for artisans. After its full recovery from Superstorm Sandy, this one-time butcher shop and ever-popular haunt is again as distinguished and delicious as ever. Packed to the rafters with locals, this ""house"" boasts quality, sustainable products prepared in a wood-burning oven. A wonderfully broiled grapefruit topped with puffed rice mixed with shrimp paste, or liver pâté topped with pistachios display an inventive mix of global ingredients. Favorites like pappardelle with shad roe and lemon zest, or caramelized pork chops with creamy grits are flooded with flavor; while most everything that comes from that prominent oven is a big hit.
				","
			From 25 USD
			to 49 USD
",MICHELIN guide inspectors
"
	Nightingale 9
",Cuisine Vietnamese,"
			Smith Street's fresh take on Vietnamese cuisine is the brainchild of Chef Robert Newton. Nightingale 9's home is the old Seersucker space, and the larger digs better accommodate the stream of neighborhood families out for something different. Its curious name refers to the old Brooklyn telephone exchange. Meanwhile, the ingredient-driven menu offers a subtle take on shredded green papaya salad that is accented by nuggets of house-dried beef, mint, and crispy shallots. Grilled beef meatballs are wonderfully chewy, flavorful, and fun in your mouth. They are in turn accompanied by sheets of rice paper and water; diners moisten these sheets until they become soft, pliable, and ready to roll with meat and herbs, before being dunked in spicy nuoc cham.
				","
			From 25 USD
			to 49 USD
",MICHELIN guide inspectors
"
	Dover
",Cuisine Contemporary,"
			Creative global accents are the guiding force behind the enticing lineup of plates at this tastefully spare candlelit bistro. Chefs Walker Stern and Joe Ogrodnek (the duo behind Battersby) prove the world is their oyster-raw or broiled and seasonally embellished to kick things off-so settle in and expect to be impressed. Sweet watermelon aguachile is boldly dressed with fresh lime juice, spicy green chiles, blistered shisito peppers and hit of feta; while house-made links of merguez are nestled in a thick and creamy chickpea purée dotted with plumped golden raisins and accompanied by perfectly puffy wedges of hot pita. Dessert is delicious and seasonal: picture a summery olive oil cake plated with white peach semifreddo and verjus gelée.
				","
			From 50 USD
			to 74 USD
",MICHELIN guide inspectors
"
	Lulu & Po
",Cuisine American,"
			Nestled around the corner of an otherwise forgettable street lined with bodegas, somewhere between Fort Greene and Clinton Hill, the Lilliputian Lulu & Po carries a sweet name but a big foodie punch. For that reason alone, you'll battle neighborhood regulars for a table or spot at the bar, but you'll probably have a grand time doing it. For the uninitiated, the setup is simple: you walk in, wait for a seat at one of the few tables that run the length of the room, and order from an ever-changing menu filled with delights. Try the creamy chicken liver pâté punched up with savory pancetta; tender grilled octopus with minty cilantro-jalapeño sauce; or a juicy half-chicken marinated with bright spices, then seared to perfection under the weight of a cast-iron pan.
				","
			From 25 USD
			to 49 USD
",MICHELIN guide inspectors
"
	Prospect
",Cuisine American,"
			This Fort Greene standout offers delicious cooking and just so happens to be pretty cool, too. Barrel-aged negronis are among the offerings from a white marble bar that provides much needed real estate. Walls are lined with reclaimed planks of the Coney Island boardwalk, and genuinely hospitable service tames the perpetually packed house. Quality trumps quantity in the streamlined selection of product-driven creations. Silken strands of house-made fettucine twirled with lemon beurre blanc and finely grated parmesan make an enticing starter, while pan-seared skate garnished tableside with coconut milk broth redolent of lemongrass and Persian lime is an inspired entrée. Finish off with a tres leches cake topped with salted sugar cookie crumbs.
				","
			From 25 USD
			to 49 USD
",MICHELIN guide inspectors
"
	No. 7
",Cuisine American,"
			This is the type of place where you sit down, look at the menu, and say, ""Does that really work?"" And it does-most of the time-as far as No. 7 is concerned. With its worn-in good looks, casual vibe, and horseshoe-shaped banquettes, this perpetually packed spot screams group dinners. Feast your eyes on the open kitchen, where the talented team crafts obsession-worthy dishes like the double-decker broccoli tacos. The exemplary combination of flavors and textures is simply brilliant: both a soft and a crisp taco shell (with just the right grease-tinged crunch) hold a mixture of cooked broccoli, salty feta, creamy beans, and fried shallots. To balance the earthy flavors, sink into the salted chocolate and corn puff tart, served with peanut butter ice cream.
				","
			From 25 USD
			to 49 USD
",MICHELIN guide inspectors
"
	Colonia Verde
",Cuisine Latin American,"
			The historic blocks with row homes on Fort Greene's DeKalb Ave. make for an equally appealing restaurant row. Thanks to a sunken front room that flanks the open kitchen's wood-fired oven, plus a glassed-in ""greenhouse"" that transitions to a pebbled outdoor garden, locals stroll into Colonia Verde no matter the time of year. And why not? The banter is lively and meals rewarding. Its menu is a Brazilian-esque expression of the owners of Cómodo in SoHo. Curiously named dishes like poblano pepper fettuccine stars pasta tossed with a spicy, satisfying ragù made from roasted poblanos, pecans, and ground beef. For dessert, the Brooklyn Mess sweetens the deal: three scoops of coffee ice cream topped with mango, dulce de leche syrup, and toasted manioc flour.
				","
			From 25 USD
			to 49 USD
",MICHELIN guide inspectors
"
	Runner & Stone
",Cuisine Contemporary,"
			An innate sense of purpose pervades this ambitious Gowanus operation. The name refers to the two stones used to grind grain; the location is just blocks away from where the city's first tide-water grist mill once stood; and the dining room is backed by a fantastic bakery headed by an alum of Per Se. Inside, the theme continues with walls constructed out of flour sack-formed concrete blocks. For lunch, sandwiches on mouthwatering bread include grilled cheddar with roasted and pickled peppers on whole wheat pain au lait, or falafel-inspired broccoli fritters swaddled in a warm pita with shots of harissa and walnut-yogurt sauce. Impressive house-made pastas and the likes of roasted chicken with soft buckwheat dumplings are crowd-pleasers at dinnertime.
				","
			From 25 USD
			to 49 USD
",MICHELIN guide inspectors
"
	The General Greene
",Cuisine American,"
			Despite the fact that this sounds like Grandpa's pet-name for his antique tractor, The General Greene is a space that nicely straddles rusticity and hipness while serving three satisfying meals a day. Everything seems cool here, if perhaps a bit aloof, from the perfectly ambient lighting, comfy banquettes, and leather bar stools to that highly prized espresso machine and free WiFi for your iPad. The menu has a playful Southern slant, as seen in a warm haricot vert salad tossed with dates, almonds, and orange segments with a chive-buttermilk biscuit; or mac and cheese melting Vermont cheddar, Gruyère, and parmesan folded with cavatelli. Ham-and-Gruyère bread pudding is custard-like and brutally addictive. Homemade cookies seem to fly out the door.
				","
			From 25 USD
			to 49 USD
",MICHELIN guide inspectors
"
	Frankies 457 Spuntino
",Cuisine Italian,"
			Frank Castronovo and Frank Falcinelli (collectively known as the Franks) have built a small empire for themselves based on delicious, seasonal Italian fare served in rustic little haunts. Frankies 457 Spuntino, a charming, brick-lined space with bare wood tables and a quiet, shady backyard strung with twinkling bistro lights, is a classic example of their easy Brooklyn style. Seem familiar by now? Well, these guys wrote the book. Service is laid-back and unpretentious, perhaps because they know the food does the talking here: a wildly fresh fennel, celery root, and parsley salad arrives with aged pecorino and a delicate lemon vinaigrette; while a tender tangle of linguini is laced with a fresh tomato broth studded with fava beans and garlic.
				","
			From 25 USD
			to 49 USD
",MICHELIN guide inspectors
"
	Prime Meats
",Cuisine European,"
			Prime Meats stands tall and proud as a true original and local gem for German eats set to American beats. The booths in front are bright and snug, while bentwood chairs and net curtains tied into a knot add to that brasserie feel. A warm vibe and cheery servers complete the picture. Hand-crafted sausages and burgers are all the rage here. Nibble away on homemade pretzels while perusing the lunch menu, which may be simple and sandwich-focused, but always showcases a gutsy edge. Bold flavors shine through in a creamy roasted squash soup; jagerwurst, a lightly charred, delicately smoky, and meaty sausage with red cabbage casserole; or Jen's German potato salad tossing waxy potato slices, chopped herbs, and thick bacon lardons in a pickled dressing.
				","
			From 25 USD
			to 49 USD
",MICHELIN guide inspectors
