name,cuisine,blurb,num_words,high_price,low_price,currency,distinctions,photos,photo_count,add_info,latitude,longitude,comments,num_comments,special_comment,avg_price,avg_USD,standing,bib,stars,assiette,value_menu
Manuel Azinheirinha,  from Alentejo,This unassuming restaurant serves some excellent cuisine. It includes a balanced à la carte menu of Alentejo specialities and more traditional Portuguese dishes.,23,36.0,18.0,EUR,[[standing-12]],"[https://download.viamichelin.com/images/michelin_guide/xlarge/215944_1.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/215944_2.jpg]",2,"[Menu 18/35 € - Carte 20/36 €, Air conditioning, No dogs allowed, No credit cards, Address Rua Dr. Magalhães de Lima 81, 7050-556 Santiago do Escoural, Phone +351266857504, Email restaurante.manuel.azinheirinha@gmail.com]",38.54296,-8.1689,,0,,27.0,30.19,12.0,0,0,0,0
Pontevelha, Regional,"Run independently from the hotel, this restaurant consists of a large circular glass-fronted dining room offering fine views. The menu is regional, with a section devoted to meat cooked over a charcoal grill.",33,35.0,22.0,EUR,[[standing-12]],"[https://download.viamichelin.com/images/michelin_guide/xlarge/215979_1.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/215979_2.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/215979_3.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/215979_4.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/215979_5.jpg]",5,"[Carte 22/35 €, Interesting or extensive view, Air conditioning, No dogs allowed, Address Alameda da Carvalha, 6100-730 Sertã, Phone +351274600160, Email ponte.velha@santosemarcal.pt, Website: http://www.santosemarcal.pt]",39.80188,-8.10358,,0,,28.5,31.87,12.0,0,0,0,0
Santo Amaro, Regional,"This restaurant is striking from outside for its modern cube-like glass structure, which is home to the café. Simple and classic-style regional cuisine is served in the dining room.",29,34.0,21.0,EUR,[[standing-12]],"[https://download.viamichelin.com/images/michelin_guide/xlarge/215980_1.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/215980_2.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/215980_3.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/215980_4.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/215980_5.jpg]",5,"[Carte 21/34 €, Air conditioning, Address Rua Bombeiros Voluntários, 6100-756 Sertã, Phone +351274604115, Email santo.amaro@santosemarcal.pt, Website: http://www.santosemarcal.pt]",39.8025,-8.099007,,0,,27.5,30.75,12.0,0,0,0,0
Ribamar, Poissons et fruits de mer,La salle principale à l'élégant décor marin est aménagée sur deux niveaux et offre une vue sur les cuisines ainsi qu'une agréable terrasse vitrée. Poisson frais et sauvage d'excellente qualité.,30,41.0,22.0,EUR,[[standing-13]],[],0,"[Menu 22/36 € - Carte 29/41 €, Repas Jardin-Terrasse, Air conditionné, Interdit aux chiens, Adresse Av. dos Náufragos 29, 2970-637 Sesimbra, Téléphone +351212234853, Email ribamar.sesimbra@gmail.com, Site web http://www.ribamar.com.pt]",38.44325,-9.10479,,0,,31.5,35.23,13.0,0,0,0,0
Trinca Espinhas, Grill,"A restaurant occupying a wooden house on the beach with a maritime decor, panoramic windows and a charming terrace. Grilled meats and fish take pride of place here.",28,35.0,20.0,EUR,"[[bib-gourmand], [standing-12]]",[],0,"[Carte 20/35 €, lunch only, Interesting or extensive view, Meals outside, Air conditioning, No dogs allowed, Enclosed car park, Address Praia de São Torpes, 7520-089 Sines, Phone +351269636379, Email lamagalhaes63@gmail.com]",37.91647,-8.80245,,0,,27.5,30.75,12.0,1,0,0,0
A Bolota, Traditional ,"A gastronomic oasis in the area. In its well-appointed dining rooms, featuring a mix of traditional and regional decor, enjoy traditional Portuguese cuisine alongside Alentejo and international dishes. The tasting menu offers unbeatable value.",34,40.0,20.0,EUR,"[[bib-gourmand], [standing-13]]","[https://download.viamichelin.com/images/michelin_guide/xlarge/216043_1.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216043_2.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216043_3.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216043_4.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216043_5.jpg]",5,"[Menu 20 € - Carte 30/40 €, Air conditioning, No dogs allowed, Enclosed car park, Address Rua Madre Teresa - Quinta das Janelas Verdes, 7350-491 Terrugem ELV, Phone +351268656118, Email bolotacastanha@hotmail.com]",38.84239,-7.35095,,0,,30.0,33.55,13.0,1,0,0,0
Os 3 Potes, Regional,"Restaurant located in an attractive historical setting with an old stone bread oven. Its regional-rustic decoration provides a cosy, local feel.",21,30.0,20.0,EUR,[[standing-12]],[https://download.viamichelin.com/images/michelin_guide/xlarge/216100_1.jpg],1,"[Carte 20/30 €, No dogs allowed, Address Beco dos Fornos 7, 4900-523 Viana do Castelo, Phone +351258829928, Email 3potes@sapo.pt]",41.6934,-8.82823,,0,,25.0,27.96,12.0,0,0,0,0
Camelo, Regional,"This respected local restaurant is used to organising large functions. Behind the bar at the entrance, with its enticing displays and fish and seafood tank, guests can choose between several attractively arranged dining areas. The extensive regional menu is particularly strong on meat dishes.",44,30.0,20.0,EUR,"[[bib-gourmand], [standing-13]]",[],0,"[Carte 20/30 €, Meals outside, Air conditioning, No dogs allowed, Private dining rooms, Enclosed car park, Address Rua de Santa Marta 119 - Estrada N 202, 4925-104 Viana do Castelo, Phone +351258839090, Email geral@camelorestaurantes.com, Website: http://www.camelorestaurantes.com]",41.69806,-8.82056,,0,,25.0,27.96,13.0,1,0,0,0
Moutados de Baixo, Regional,"It has a spacious, well-organised dining area, with a visible kitchen on one side and large windows on the other. Regionally flavoured dishes prepared.",24,36.0,15.0,EUR,[[standing-12]],"[https://download.viamichelin.com/images/michelin_guide/xlarge/216126_1.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216126_2.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216126_3.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216126_4.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216126_5.jpg]",5,"[Menu 15/30 € - Carte 25/36 €, Air conditioning, No dogs allowed, Enclosed car park, Address Av. do Brasil 1701, 4764-983 Vila Nova de Famalicão, Phone +351252322276, Email hotelmoutados@mail.telepac.pt, Website: http://www.moutados.com.pt]",41.42072,-8.49366,,0,,25.5,28.52,12.0,0,0,0,0
Muralha da Sé, Traditional ,"An impressive restaurant in the heart of Viseu's old quarter. There is a small entrance hall, a pleasant main dining room with an open fireplace and exposed stone walls, as well as two small rooms used for private dining. The focus is on tasty and well-presented regional cuisine.",48,35.0,20.0,EUR,"[[bib-gourmand], [standing-13]]",[],0,"[Carte 20/35 €, Air conditioning, No dogs allowed, Private dining rooms, Address Adro da Sé 24, 3500-195 Viseu, Phone +351232437777, Email geral@muralhadase.pt, Website: http://www.muralhadase.pt]",40.656,-7.91727,,0,,27.5,30.75,13.0,1,0,0,0
Quinta da Magarenha, Traditional ,"Professionally run business with nicely-maintained, classic-style facilities. It has four dining rooms, two with à la carte service, and the rest for banquets.",23,35.0,18.0,EUR,[[standing-13]],[],0,"[Menu 18/35 € - Carte 20/35 €, Wheelchair accessible, Air conditioning, No dogs allowed, Private dining rooms, Enclosed car park, Address Via Caçador - junto a saída 20 da Auto-Estrada A 25, 3505-577 Viseu, Phone +351232479106, Email carlos.costa@magarenha.com, Website: http://www.magarenha.com]",40.62328,-7.9182596,,0,,26.5,29.63,13.0,0,0,0,0
Dos Artistas, International,"The Dos Artistas boasts a pleasant terrace and a well-appointed dining room in a classic-colonial style. There is an international-style menu including imaginative dishes, myriad combinations, and several set menus.",30,70.0,27.0,EUR,[[standing-13]],"[https://download.viamichelin.com/images/michelin_guide/xlarge/216396_1.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216396_2.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216396_3.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216396_4.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216396_5.jpg]",5,"[Menu 27/70 € - Carte 35/60 €, Meals outside, Air conditioning, Address Rua Cândido dos Reis 68, 8600-567 Lagos, Phone +351282760659, Email artistas@mail.telepac.pt, Website: http://www.lagos-artistas.com]",37.10085,-8.67308,,0,,48.5,54.23,13.0,0,0,0,0
Flor de Sal, Modern ,"This restaurant is bound to surprise you! It has an attractive wine rack hall, a modern dining room decorated with designer details, and a bar with a terrace beside the river. Good wine cellar and contemporary cuisine.",37,38.0,13.0,EUR,[[standing-14]],"[https://download.viamichelin.com/images/michelin_guide/xlarge/216527_1.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216527_2.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216527_3.jpg]",3,"[Menu 13/30 € - Carte 28/38 €, A particularly interesting wine list, Air conditioning, No dogs allowed, Address Parque Dr. José Gama, 5370-527 Mirandela, Phone +351278203063, Email flordesal@hotmail.com]",41.485996,-7.1865134,,0,,25.5,28.51,14.0,0,0,0,0
DOC, Traditional ,This restaurant in a contemporary-style is beside the Douro river and has an attractive terrace over the river. Enjoy the good views and taste its traditional cuisine with a creative flair.,31,80.0,57.0,EUR,[[standing-13]],"[https://download.viamichelin.com/images/michelin_guide/xlarge/216528_1.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216528_2.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216528_3.jpg]",3,"[Menu 80 € - Carte 57/76 €, A particularly interesting wine list, Interesting or extensive view, Meals outside, Air conditioning, No dogs allowed, Enclosed car park, Address Estrada Nacional 222, 5110-204 Folgosa do Douro, Phone +351254858123, Email doc@ruipaula.com, Website: http://www.ruipaula.com]",41.151543,-7.6823745,,0,,68.5,76.6,13.0,0,0,0,0
Largo do Paço, Modern ,"This restaurant occupies an attractive aristocratic property with an interior that is elegantly classical in style. The kitchen serves contemporary cuisine, including a number of innovative dishes, alongside traditional Portuguese recipes. Great attention to detail, both in its preparation and presentation.",41,125.0,35.0,EUR,"[[star], [standing-19]]","[https://download.viamichelin.com/images/michelin_guide/xlarge/216595_1.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216595_2.jpg]",2,"[Menu 35/125 € - Carte 50/79 €, Meals outside, Wheelchair accessible, Air conditioning, No dogs allowed, Private dining rooms, Enclosed car park, Address Largo do Paço 6, 4600-017 Amarante, Phone +351255410830, Email reservas@casadacalcada.com, Website: http://www.largodopaco.com]",41.26843,-8.07742,,0,,80.0,89.46,19.0,0,1,0,0
Ocean, Creative,"The Ocean occupies a villa adjoining the hotel, where guests can relax in the classically elegant dining room or on the terrace boasting sea views. The chef prepares delicate, original dishes with a creative touch, attention to detail, and a focus on perfect culinary technique!",45,175.0,95.0,EUR,"[[star], [star], [standing-20]]","[https://download.viamichelin.com/images/michelin_guide/xlarge/216602_1.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216602_2.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216602_3.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216602_4.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216602_5.jpg]",5,"[Menu 95/175 €, dinner only - set menu only, A particularly interesting wine list, Interesting or extensive view, Park or Garden, Meals outside, Air conditioning, No dogs allowed, Garage, Address Alporchinhos, 8400-450 Porches, Phone +351282310100, Email reservas@vilavitaparc.com, Website: http://www.vilavitaparc.com]",37.10065,-8.37795,,0,,135.0,150.96,20.0,0,2,0,0
B y G, Traditional ,This restaurant serving contemporary cuisine stands out for its large panoramic windows and charming outdoor terrace overlooking the sea.,19,59.0,37.0,EUR,[[standing-19]],[],0,"[Menu 43/50 € - Carte 37/59 €, dinner only - booking advisable, Interesting or extensive view, Park or Garden, Meals outside, Tennis, Air conditioning, No dogs allowed, Garage, Address Praia das Gaivotas, 8400-450 Porches, Phone +351282320000, Email reservas@vilalararesort.com, Website: http://www.vilalararesort.com]",37.10178,-8.37942,,0,,48.0,53.67,19.0,0,0,0,0
Fortaleza do Guincho, International|Creative,"This magnificent restaurant has an elegant small lounge, a bar, and a glass-fronted dining room that stands out for its comfort and magnificent sea views. It serves creative cuisine with an international flavour and there is an exceptional wine cellar.",40,104.0,76.0,EUR,"[[star], [standing-20]]","[https://download.viamichelin.com/images/michelin_guide/xlarge/216662_1.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216662_2.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216662_3.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216662_4.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216662_5.jpg]",5,"[Menu 90 € - Carte 76/104 €, A particularly interesting wine list, Interesting or extensive view, Wheelchair accessible, Air conditioning, No dogs allowed, Enclosed car park, Address Praia do Guincho, 2750-642 Cascais, Phone +351214870491, Email restaurante@guinchotel.pt, Website: http://www.fortalezadoguincho.pt]",38.7226,-9.47839,,0,,90.0,100.65,20.0,0,1,0,0
Arcadas, Traditional ,This restaurant has two connecting rooms housed in the palace's former stables. Both of which are simply decorated in typical contemporary style; one has large windows offering views of the garden. Traditional cuisine with an international flavour.,37,95.0,50.0,EUR,[[standing-14]],"[https://download.viamichelin.com/images/michelin_guide/xlarge/216678_1.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216678_2.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216678_3.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216678_4.jpg]",4,"[Menu 50/95 € - Carte 52/68 €, dinner only, A particularly interesting wine list, Meals outside, Air conditioning, No dogs allowed, Enclosed car park, Address Rua António Augusto Gonçalves, 3041-901 Coimbra, Phone +351239802380, Email quintadaslagrimas@themahotels.pt, Website: http://www.quintadaslagrimas.pt]",40.1982,-8.43381,,0,,72.5,81.08,14.0,0,0,0,0
William, Classic ,"A restaurant that will not disappoint. Classically elegant in feel, it enjoys superb views of both the town and the port area. Traditional and international cuisine.",26,79.0,58.0,EUR,[[standing-15]],[],0,"[Menu 59/78 € - Carte 58/79 €, dinner only, Interesting or extensive view, Park or Garden, Air conditioning, No dogs allowed, Enclosed car park, Address Estrada Monumental 139, 9000-098 Funchal, Phone +351291717171, Email reservations.rds@belmond.com, Website: http://www.belmond.com]",32.64069,-16.92367,,0,,68.5,76.6,15.0,0,0,0,0
