name,cuisine,address,distinction,author,blurb,price,add_info
"
	Salinas
",Cuisine Spanish,na,na,MICHELIN guide inspectors,na,na,na
"
	Colonie
",Cuisine Contemporary,na,na,MICHELIN guide inspectors,na,na,na
"
	Sottocasa
",Cuisine Pizza,na,na,MICHELIN guide inspectors,na,na,na
"
	Hibino
",Cuisine Japanese,na,na,MICHELIN guide inspectors,na,na,na
"
	Ki Sushi
",Cuisine Japanese,na,na,MICHELIN guide inspectors,na,na,na
"
	French Louie
",Cuisine Mediterranean,na,na,MICHELIN guide inspectors,na,na,na
"
	Chef's Table at Brooklyn Fare
",Cuisine Contemporary,na,na,MICHELIN guide inspectors,na,na,na
"
	Mile End
",Cuisine Deli,na,na,MICHELIN guide inspectors,na,na,na
"
	La Vara
",Cuisine Spanish,na,na,MICHELIN guide inspectors,na,na,na
"
	Sociale
",Cuisine Italian,na,na,MICHELIN guide inspectors,na,na,na
"
	Ganso Ramen
",Cuisine Japanese,na,na,MICHELIN guide inspectors,na,na,na
"
	Brucie
",Cuisine Italian,na,na,MICHELIN guide inspectors,na,na,na
"
	Jack the Horse
",Cuisine American,na,na,MICHELIN guide inspectors,na,na,na
"
	Rucola
",Cuisine Contemporary,na,na,MICHELIN guide inspectors,na,na,na
"
	Clover Club
",Cuisine American,na,na,MICHELIN guide inspectors,na,na,na
"
	Strong Place
",Cuisine Gastropub,na,na,MICHELIN guide inspectors,na,na,na
"
	Jolie Cantina
",Cuisine Fusion,na,na,MICHELIN guide inspectors,na,na,na
"
	Pok Pok Ny
",Cuisine Thai,na,na,MICHELIN guide inspectors,na,na,na
"
	Battersby
",Cuisine Contemporary,na,na,MICHELIN guide inspectors,na,na,na
"
	Gran Eléctrica
",Cuisine Mexican,na,na,MICHELIN guide inspectors,na,na,na
"
	Take Root
",Cuisine Contemporary,na,na,MICHELIN guide inspectors,na,na,na
"
	Enoteca on Court
",Cuisine Italian,na,na,MICHELIN guide inspectors,na,na,na
"
	Alma
",Cuisine Mexican,na,na,MICHELIN guide inspectors,na,na,na
"
	Atrium
",Cuisine Contemporary,na,na,MICHELIN guide inspectors,na,na,na
"
	The River Café
",Cuisine Contemporary,na,na,MICHELIN guide inspectors,na,na,na
"
	Vinegar Hill House
",Cuisine American,na,na,MICHELIN guide inspectors,na,na,na
"
	Nightingale 9
",Cuisine Vietnamese,na,na,MICHELIN guide inspectors,na,na,na
"
	Dover
",Cuisine Contemporary,na,na,MICHELIN guide inspectors,na,na,na
"
	Lulu & Po
",Cuisine American,na,na,MICHELIN guide inspectors,na,na,na
"
	Prospect
",Cuisine American,na,na,MICHELIN guide inspectors,na,na,na
"
	No. 7
",Cuisine American,na,na,MICHELIN guide inspectors,na,na,na
"
	Colonia Verde
",Cuisine Latin American,na,na,MICHELIN guide inspectors,na,na,na
"
	Runner & Stone
",Cuisine Contemporary,na,na,MICHELIN guide inspectors,na,na,na
"
	The General Greene
",Cuisine American,na,na,MICHELIN guide inspectors,na,na,na
"
	Frankies 457 Spuntino
",Cuisine Italian,na,na,MICHELIN guide inspectors,na,na,na
"
	Prime Meats
",Cuisine European,na,na,MICHELIN guide inspectors,na,na,na
"
	Pickle Shack
",Cuisine Gastropub,na,na,MICHELIN guide inspectors,na,na,na
"
	Palo Santo
",Cuisine Latin American,na,na,MICHELIN guide inspectors,na,na,na
"
	Bricolage
",Cuisine Vietnamese,na,na,MICHELIN guide inspectors,na,na,na
"
	Buttermilk Channel
",Cuisine American,na,na,MICHELIN guide inspectors,na,na,na
"
	Morgan's BBQ
",Cuisine Barbecue,na,na,MICHELIN guide inspectors,na,na,na
"
	The Runner
",Cuisine American,na,na,MICHELIN guide inspectors,na,na,na
"
	Franny's
",Cuisine Italian,na,na,MICHELIN guide inspectors,na,na,na
"
	Aita
",Cuisine Italian,na,na,MICHELIN guide inspectors,na,na,na
"
	James
",Cuisine American,na,na,MICHELIN guide inspectors,na,na,na
"
	SoCo
",Cuisine Southern,na,na,MICHELIN guide inspectors,na,na,na
"
	Kao Soy
",Cuisine Thai,na,na,MICHELIN guide inspectors,na,na,na
"
	Elberta
",Cuisine Southern,na,na,MICHELIN guide inspectors,na,na,na
"
	Juventino
",Cuisine Contemporary,na,na,MICHELIN guide inspectors,na,na,na
"
	The Finch
",Cuisine American,na,na,MICHELIN guide inspectors,na,na,na
"
	Al Seabu
",Cuisine Malaysian,na,na,MICHELIN guide inspectors,na,na,na
"
	Cooklyn
",Cuisine Contemporary,na,na,MICHELIN guide inspectors,na,na,na
"
	Fort Defiance
",Cuisine American,na,na,MICHELIN guide inspectors,na,na,na
"
	Umi NOM
",Cuisine Asian,na,na,MICHELIN guide inspectors,na,na,na
"
	Sushi Katsuei
",Cuisine Japanese,na,na,MICHELIN guide inspectors,na,na,na
"
	Speedy Romeo
",Cuisine American,na,na,MICHELIN guide inspectors,na,na,na
"
	The Good Fork
",Cuisine Contemporary,na,na,MICHELIN guide inspectors,na,na,na
"
	Hometown Bar-B-Que
",Cuisine Barbecue,na,na,MICHELIN guide inspectors,na,na,na
"
	Marlow & Sons
",Cuisine Gastropub,na,na,MICHELIN guide inspectors,na,na,na
"
	Black Swan
",Cuisine American,na,na,MICHELIN guide inspectors,na,na,na
"
	Meadowsweet
",Cuisine Mediterranean,na,na,MICHELIN guide inspectors,na,na,na
"
	Talde
",Cuisine Asian,na,na,MICHELIN guide inspectors,na,na,na
"
	Do or Dine
",Cuisine Contemporary,na,na,MICHELIN guide inspectors,na,na,na
