name,address,cuisine,blurb,add_info,location,word_count,avg_price,lat,lon,bib,stars,standing
Racines NY,"94 Chambers St., New York, NY 10013", French,"The American outpost of this popular Parisian original cuts an elegant figure, with its wide marble bar and pristine flower arrangements. Throw in romantic low lighting, brick-lined walls and a tony TriBeCa address-and you have quite the operation. The service can be a bit off-putting, which is a shame because Racines NY has an ace, even affordable, wine list that bears discussion and recommendations. As for the food, you'll pay for all that sexy ambience a little more than the cuisine currently merits-but certain dishes, like a rich chicken liver mousse served with grilled breads, make for an elegant bar snack. Paired with one of those excellent wines by the glass and a seat at that handsome bar, you have a recipe for a glam night on the town.	","[
Meal prices

over $75

, 

			 Additional information 
			
		

Wheelchair accessible
A particularly interesting wine list

, 
Useful information

Address 94 Chambers St., New York 10013
Phone +12122273400
Website: http://www.racinesny.com


Driving directions

]","Racines NY, 94, Chambers Street, Tribeca, Manhattan, New York County, NYC, New York, 10007, United States of America",129,112.5,40.71462,-74.0075177,0,0,13
Little Park,"85 West Broadway, New York, NY 10007", American,"Chef/owner Andrew Carmellini strikes again, this time with an inviting all-day eatery on the ground floor of the Smyth Hotel. White tiled walls, amazing artwork, and lovely fresh flowers ensure that the well-designed dining room feels cheery and comfortable. Generous space between tables promises privacy. Local and seasonal ingredients dictate the menu, especially in the raw and cured section-Long Island fluke or Peconic Bay scallops are simple, fresh opening acts. Purple and orange carrots are roasted until tender, topped in crisp breadcrumbs, then beautifully plated with a tangy black garlic aïoli. A burgundy-hued beetroot risotto is studded with goat cheese. Brimming with cuttlefish, clams, and mussels, the spiced shellfish ragù is downright outstanding.	","[
Meal prices

$25 to $50

, 

			 Additional information 
			
		

Wheelchair accessible
Breakfast
Brunch
Notable cocktail list

, 
Useful information

Address 85 West Broadway, New York 10007
Phone +12122204110
Website: http://www.littlepark.com


Driving directions

]","85, West Broadway, Tribeca, Manhattan, New York County, NYC, New York, 10007, United States of America",113,37.0,40.7152534,-74.0092237,0,0,13
Blaue Gans,"139 Duane St., New York, NY 10013", Austrian,"This sleek, unbridled Viennese-style café feels almost smoky and well-worn, but never out of touch. Its walls are papered with vintage movie posters, while banquettes and tables dominate the dining space. Blaue Gans' strong, loyal following (an increasingly rare feat in the city) is comprised of locals engaging in familiar banter at the bar or communal table. Everyone is here for the impressive Austrian cooking, which may unveil a beautiful bibb, pumpkin seed, and shaved radish salad with a light, creamy pumpkin oil dressing. Other classic treasures include pork Jäger schnitzel with mushrooms, bacon, and herbed spätzle; or classic kavalierspitz accompanied by salty creamed spinach and sweet-tart apple horseradish. Delish desserts will have you at hello.	","[
Meal prices

$25 to $50

, 

			 Additional information 
			
		

Meals outside
Brunch
Notable beer list

, 
Useful information

Address 139 Duane St., New York 10013
Phone +12125718880
Website: http://www.kg-ny.com


Driving directions

]","139, Duane Street, Tribeca, Manhattan, New York County, NYC, New York, 10013, United States of America",116,37.0,40.7164504,-74.0078251,0,0,13
Rosanjin,"141 Duane St., New York, NY 10013", Japanese,"From its ultra-discrete entrance to its heavily curtained windows, everything about this elegant TriBeCa Japanese restaurant spells delicious rendezvous. Should you be lucky enough to find your way into Rosanjin's barely marked entrance, you'll discover a sleek, sophisticated and oh-so-private dining room with soft jazz music that reads tranquil even when it's full. Despite its tony address and well-heeled clientele, Rosanjin retains a sort of bonhomie from another era-it's not uncommon for the chef to hand-deliver a few of your dishes with a heartfelt thank you. It's a gesture of gratitude you're likely to return after witnessing the stunning composition on your plate. A typical kaiseki meal here would feature a bright selection of sushi, some of it scored to deliver that perfect melt-in-your-mouth experience; and might include a delicate (and dramatic) starter of lobster and uni, suspended in a jellied dashi broth and served in a glass with a wispy cloud of orange dry ice. Then, an excellent chawan mushi may follow, with salty caviar, tender oyster mushrooms, fresh uni, and chives; or a delicious clear soup with a scallop mousse dumpling, mountain yam, mountain greens, and ginger.	","[
Meal prices

over $75

, 

			 Additional information 
			
		

Wheelchair accessible

, 
Useful information

Address 141 Duane St., New York 10013
Phone +12123460664
Website: http://www.rosanjintribeca.com


Driving directions

]","141, Duane Street, Tribeca, Manhattan, New York County, NYC, New York, 10013, United States of America",189,112.5,40.716426,-74.0078182727,0,1,14
Brushstroke,"30 Hudson St., New York, NY 10013", Japanese,"The name may not give too much away but as soon as you enter you just know you're in a Japanese restaurant. It's probably all that calming wood-there's enough here of assorted hues and from various sources to excite the woodsman in us all. Or it could be the L-shaped counter behind which chefs go about their work with studied determination; or more probably, it's the sight of graciously polite servers carrying bowls, boards, and cups containing delicate dishes of infinite beauty. This joint venture between David Bouley and Yoshiki Tsuji aims to showcase the beauty, subtlety, harmony, and precision that is Japanese cuisine. This isn't the place for sushi-you go next door for that. Instead, it serves seasonally pertinent dishes that are a joy to behold, but where the art never comes at the expense of taste. The Washu beef sukiyaki, for example, has a wonderful depth of flavor. Desserts, such as sake crème brûlée, have more obvious European parentage but are still light, delicate creations. Indeed, such is the nature of the food here that one can, unlike with many styles of restaurant, still engage in constructive work afterwards.	","[
Meal prices

over $75

, 

			 Additional information 
			
		

Notable sake list

, 
Useful information

Address 30 Hudson St., New York 10013
Phone +12127913771
Website: http://www.davidbouley.com


Driving directions

]","30, Hudson Street, Tribeca, Manhattan, New York County, NYC, New York, 10013, United States of America",191,112.5,40.7167566,-74.009026,0,1,19
Tiny's,"135 West Broadway, New York, NY 10013", American,"The name says it all-Tiny's is indeed tiny, but in that old New York, wood-burning fire and pressed-tin ceiling kind of way. Enter the narrow Federal-style home (c. 1810) and sidle up to the beautiful people along the pew seats overlooking a poster of the Marlboro Man, or head on to the aptly named Bar Upstairs. The food may be American but seamlessly weaves in Italian influences. Creamy burrata arrives over date purée, glazed in lemon-honey and sprinkled with crushed pistachios. Hake is thickly cut and enticingly flaky, drizzled in brown butter with tart capers, lemon, and parsley, then complemented with both pan-roasted fingerling potatoes and beautifully dressed frisée salad. Even their delicate California chardonnay harkens to old-world flavors.	","[
Meal prices

$25 to $50

, 

			 Additional information 
			
		

Brunch
Private dining rooms

, 
Useful information

Address 135 West Broadway, New York 10013
Phone +12123741135
Website: http://www.tinysnyc.com


Driving directions

]","135, West Broadway, Tribeca, Manhattan, New York County, NYC, New York, 10013, United States of America",119,37.0,40.7167112,-74.0080145927,0,0,17
The Odeon,"145 West Broadway, New York, NY 10013", American,"It's easy to see why The Odeon has been a part of the fabric of TriBeCa life for so long. Like watching a re-run of Seinfeld, it is reassuringly familiar, classically New York and, even when you know what's coming next, still eminently satisfying. The menu is a roll-call of everyone's favorites, from chicken paillard to beet salad, burgers to cheesecake. Cocktails are well made and beers carefully poured. Dishes are executed with sufficient care and portions are of manageable proportions. The room comes with an appealing art deco feel and the terrace at the front pulls in the occasional passer-by. Service is personable and willing too, although after all this time the place could probably run itself.	","[
Meal prices

$50 to $75

, 

			 Additional information 
			
		

Meals outside
Brunch

, 
Useful information

Address 145 West Broadway, New York 10013
Phone +12122330507
Website: http://www.theodeonrestaurant.com


Driving directions

]","145, West Broadway, Tribeca, Manhattan, New York County, NYC, New York, 10013, United States of America",118,62.0,40.7169082,-74.0079208,0,0,13
Marc Forgione,"134 Reade St., New York, NY 10013", American,"This eponymous restaurant is dark, sexy, and attracts an endless stream of downtown denizens. Abundant candles produce more atmosphere than light for the rustic room clad in exposed brick and salvaged wood. Aloof servers dressed in black seem to disappear into the background. The innovative American fare excites with bold flavors, as in barbecued oysters sprinkled with pancetta powder. Montauk fluke en croute, set over roasted cauliflower, hazelnuts, and capers topped with a buttery panel of toast, is dressed with sauce proposal-so named because the rich brown butter and golden raisin emulsion is said to have earned the chef a few romantic offers. It is delicious, but Chef Forgione deserves equal affection for those amazing butter-glazed potato rolls.	","[
Meal prices

$50 to $75

, 

			 Additional information 
			
		

Wheelchair accessible
Meals outside
Brunch
Notable cocktail list

, 
Useful information

Address 134 Reade St., New York 10013
Phone +12129419401
Website: http://www.marcforgione.com


Driving directions

]","134, Reade Street, Tribeca, Manhattan, New York County, NYC, New York, 10013, United States of America",118,62.0,40.7165182,-74.0095129566,0,0,13
atera,"77 Worth St., New York, NY 10013", Contemporary,"Well, hello there, Ronny Emborg-this visionary new culinary talent takes the reigns at Jodi Richard's sleek TriBeCa tasting menu restaurant, atera-and the results are nothing short of sublime. Guests access atera by an ultra-discreet entrance; from there, a polished and attentive staff member might offer you a complimentary drink before whisking you off to a lovely, U-shaped counter with supple leather seats positioned to watch the kitchen execute its magic. Sound like a beautiful dream? It is wonderfully real, and that's before they ply you with their excellent wine pairing, cocktails or tea tasting (yes, tea-trust us, you'll be talking about it for days). Chef Emborg's Danish-accented menu might begin with an exquisite chilled green tomato soup with juniper oil, before proceeding to a buttery waffle with savory mushroom cream and earthy black truffle. Then, tender snow crab in an ethereal tomato broth with rose hip cream; or sweet scallop with crisp green apple, dill fronds and horseradish ice may be tailed by springy sepia plated with tart currants and laced with a deadly delicious hazelnut fish cream. Plump razor clams in a miso-brown butter broth are topped with bitter greens and foam for added flavor.	","[
Meal prices

over $75

, 

			 Additional information 
			
		

A particularly interesting wine list
Notable cocktail list

, 
Useful information

Address 77 Worth St., New York 10013
Phone +12122261444
Website: http://www.ateranyc.com


Driving directions

]","77, Worth Street, Tribeca, Manhattan, New York County, NYC, New York, 10013, United States of America",196,112.5,40.716937,-74.0056984,0,2,18
Ichimura,"30 Hudson St., New York, NY 10013", Japanese,"Tucked away in the bustling swirl of TriBeCa, Ichimura is an oasis of tranquility-with a bright, sun-drenched wood décor that effortlessly blends minimalist Japanese style with a modern sensibility. It's the perfect space to take a seat at the L-shaped counter, take a deep breath, and let go of that city angst. Then, give yourself over completely to the genius Chef Eiji Ichimura and his talented waitstaff. Throughout your omakase experience, Chef Ichimura always handles the service himself-first bending over his heart-stopping creations and shaping dishes with fingers as nimble as a cellist's, then delivering it with a gracious smile. Dinner might begin with the traditional zensai, or appetizer plate of cold bites; and then move on to dishes like a warm, excellent chawan mushi topped with Florida golden crab, truffle dashi, and confetti of chopped chives. A plate of superbly fresh and seasonal sashimi, some of it expertly cured or carrying a drop of delicious sauce, may be tailed by a mind-blowing parade of bright sushi that might include hiramasa, king mackerel, Japanese ocean trout, Flying fish, sea perch, or the creamiest ebi you've ever tasted, carrying a whisper of shiso and Japanese uni.	","[
Meal prices

over $75

, 
Useful information

Address 30 Hudson St., New York 10013
Phone +12127913771
Website: http://www.davidbouley.com


Driving directions

]","30, Hudson Street, Tribeca, Manhattan, New York County, NYC, New York, 10013, United States of America",195,112.5,40.7167566,-74.009026,0,2,13
