0
Frank Darabont
Francis Ford Coppola
Francis Ford Coppola
Christopher Nolan
Steven Spielberg
Sidney Lumet
Quentin Tarantino
Peter Jackson
Sergio Leone
David Fincher
Peter Jackson
Irvin Kershner
Robert Zemeckis
Christopher Nolan
Peter Jackson
Milos Forman
Martin Scorsese
Lana Wachowski
Akira Kurosawa
George Lucas
Fernando Meirelles
David Fincher
Jonathan Demme
Frank Capra
Bryan Singer
Roberto Benigni
Luc Besson
Sergio Leone
Hayao Miyazaki
Steven Spielberg
Tony Kaye
Christopher Nolan
Michael Curtiz
Alfred Hitchcock
Charles Chaplin
Steven Spielberg
Olivier Nakache
Charles Chaplin
Frank Darabont
Alfred Hitchcock
James Cameron
Martin Scorsese
Roman Polanski
Robert Zemeckis
Damien Chazelle
Ridley Scott
Christopher Nolan
Francis Ford Coppola
Christopher Nolan
Roger Allers
Stanley Kubrick
Billy Wilder
Ridley Scott
Charles Chaplin
Florian Henckel von Donnersmarck
Giuseppe Tornatore
Stanley Kubrick
Quentin Tarantino
Stanley Kubrick
Isao Takahata
Andrew Stanton
Christopher Nolan
Sam Mendes
James Cameron
Hayao Miyazaki
Chan-wook Park
Orson Welles
Sergio Leone
Alfred Hitchcock
Wolfgang Petersen
Alfred Hitchcock
Billy Wilder
Richard Marquand
Fritz Lang
Quentin Tarantino
Mel Gibson
Jean-Pierre Jeunet
Darren Aronofsky
Stanley Kubrick
Martin Scorsese
Billy Wilder
Lee Unkrich
David Lean
Robert Mulligan
Michel Gondry
Milos Forman
Stanley Kubrick
George Roy Hill
Stanley Kubrick
Vittorio De Sica
Stanley Donen
John Lasseter
Guy Ritchie
Quentin Tarantino
Terry Gilliam
Charles Chaplin
Curtis Hanson
Sergio Leone
Billy Wilder
Akira Kurosawa
Brian De Palma
Steven Spielberg
Asghar Farhadi
Fritz Lang
Joseph L. Mankiewicz
Rajkumar Hirani
Akira Kurosawa
Thomas Vinterberg
Christopher Nolan
John Huston
Gus Van Sant
Billy Wilder
Pete Docter
Clint Eastwood
Carol Reed
Majid Majidi
Martin Scorsese
Oliver Hirschbiegel
Pete Docter
John McTiernan
Roman Polanski
John Sturges
Michael Mann
Lenny Abrahamson
Guillermo del Toro
Elia Kazan
Hayao Miyazaki
Akira Kurosawa
Akira Kurosawa
Charles Chaplin
Frank Capra
David Lean
Juan José Campanella
Ridley Scott
Ingmar Bergman
Guy Ritchie
F.W. Murnau
Hayao Miyazaki
Martin Scorsese
Clyde Bruckman
Ingmar Bergman
J.J. Abrams
David Lynch
Gavin O'Connor
Martin Scorsese
Stanley Kramer
Ron Howard
Yasujirô Ozu
James McTeigue
Denis Villeneuve
Clint Eastwood
Joel Coen
Moustapha Akkad
Michael Cimino
Danny Boyle
Alfred Hitchcock
Joel Coen
Alfred Hitchcock
Victor Fleming
Stuart Rosenberg
Anthony Russo
Dean DeBlois
Andrew Stanton
M. Night Shyamalan
Elem Klimov
John Carpenter
Ethan Coen
Sean Penn
Adam Elliot
David Fincher
Quentin Tarantino
Frank Capra
Terry Jones
Ron Howard
Federico Fellini
Paul Thomas Anderson
Terry George
Oliver Stone
Byron Howard
John Huston
Tom McCarthy
Henri-Georges Clouzot
Sidney Lumet
George Miller
George Roy Hill
Martin Scorsese
François Truffaut
Rob Reiner
Jim Sheridan
Steve McQueen
Ingmar Bergman
Wes Anderson
Alejandro G. Iñárritu
Clint Eastwood
Rob Reiner
Damián Szifrón
William Wyler
Orson Welles
Lasse Hallström
Steven Spielberg
Hayao Miyazaki
John Ford
Woody Allen
Tim Miller
Andrei Tarkovsky
Richard Linklater
Richard Attenborough
Paul Greengrass
Peter Weir
Joon-ho Bong
Henri-Georges Clouzot
Richard Kelly
John G. Avildsen
Alejandro G. Iñárritu
Federico Fellini
Victor Fleming
Pete Docter
David Yates
James Cameron
Terry Gilliam
William Wyler
Harold Ramis
Frank Miller
Alfred Hitchcock
Wai-Keung Lau
Robert Hamer
Steven Spielberg
Mathieu Kassovitz
Denis Villeneuve
Stanley Kubrick
Gillo Pontecorvo
Sidney Lumet
Ridley Scott
Steven Spielberg
Wilson Yip
Morten Tyldum
Gore Verbinski
Tate Taylor
Ingmar Bergman
James Gunn
Joss Whedon
Sergio Leone
Hayao Miyazaki
Tom Hooper
William Wyler
Akira Kurosawa
Fred Zinnemann
Anurag Kashyap
Gary Trousdale
Kar-Wai Wong
